id,hour,hour_bef_temperature,hour_bef_precipitation,hour_bef_windspeed,hour_bef_humidity,hour_bef_visibility,hour_bef_ozone,hour_bef_pm10,hour_bef_pm2.5,count
3,20,16.3,1,1.5,89,576,0.027,76,33,49
6,13,20.1,0,1.4,48,916,0.042,73,40,159
7,6,13.9,0,0.7,79,1382,0.033,32,19,26
8,23,8.1,0,2.7,54,946,0.04,75,64,57
9,18,29.5,0,4.8,7,2000,0.057,27,11,431
13,2,13.6,0,1.7,80,1073,0.027,34,15,39
14,3,10.6,0,1.5,58,1548,0.038,62,33,23
16,21,16,0,6,21,1961,0.05,90,28,146
19,9,13.8,0,1.9,64,1344,0.039,93,19,39
20,14,17.2,0,2.1,32,1571,0.025,64,19,83
21,4,5.7,0,0.6,77,1960,0.028,14,18,6
22,10,15.4,0,2.7,62,1362,0.039,99,21,42
24,9,14.1,0,3.2,59,1808,0.028,52,18,59
27,10,9.2,0,1.9,55,462,0.023,91,84,60
28,1,20,0,1.8,58,2000,,,,74
29,13,14,1,2.8,42,1518,0.03,49,37,5
30,21,18.8,0,2.2,34,2000,0.04,32,14,217
32,17,11.5,1,3,91,555,0.036,29,21,64
33,13,22.6,0,,41,987,0.046,64,39,208
34,18,18,1,1.9,82,685,0.044,99,42,15
35,10,15.4,0,3.1,19,1225,0.032,199,18,58
36,8,12.6,0,5.3,53,1576,0.014,52,40,209
37,16,19.4,0,5.9,21,2000,0.052,52,14,122
38,23,15.4,0,1.4,87,423,0.019,85,35,87
44,3,17.2,0,1.6,59,1277,0.052,49,32,30
45,0,11.7,0,3.5,80,895,0.044,58,31,34
46,2,13,0,0.5,48,1992,0.043,73,26,29
47,7,10.9,0,0.8,77,1092,0.035,79,17,18
48,15,18,0,3.3,20,2000,0.045,54,21,106
49,2,8.9,0,0.9,52,839,0.011,80,71,10
50,10,16.8,0,1.8,62,955,0.016,55,23,81
53,14,20.8,0,4.6,18,2000,0.071,38,22,258
55,19,11.4,0,2.2,87,800,0.04,39,27,150
56,21,10.2,0,0.5,84,1668,0.021,24,,127
57,22,23.4,0,2.6,37,2000,0.015,26,16,214
58,11,21.2,0,2.3,45,1929,0.034,30,19,115
64,13,19.8,0,1.8,29,1943,0.041,62,26,155
67,15,19.7,0,4.5,31,1795,0.065,64,39,138
69,22,20.8,0,1.8,48,1781,0.028,55,31,221
70,5,15.3,0,1.8,52,1363,0.04,65,39,16
72,19,18.9,0,2.8,59,1806,0.042,49,26,218
73,22,14.9,0,2.5,66,1975,0.039,45,19,201
74,13,20.2,0,2.9,23,1304,0.065,43,18,110
75,3,15.1,0,0.8,74,1935,0.034,32,20,30
76,17,21.7,0,3,35,2000,,32,19,213
77,17,25.1,0,4.5,33,2000,0.06,32,21,268
78,1,12.2,0,3,49,1071,,,,36
79,14,19.4,0,5.7,40,1971,0.05,61,16,268
81,17,14.6,1,2.7,84,1645,0.044,21,14,93
83,6,11,0,1.3,25,1056,0.041,213,21,12
84,20,15.6,0,3.2,30,1211,0.06,69,58,130
85,10,16.6,0,3.1,53,1945,0.027,76,14,89
86,21,14.7,0,2.9,46,1754,0.051,88,19,88
87,2,11.4,0,2.1,40,1766,0.033,103,24,23
88,21,20.1,0,1.2,42,1716,0.049,70,31,187
89,11,23.4,0,2.3,34,1911,0.042,44,25,95
90,7,8.9,0,0.2,75,642,0.033,66,36,19
91,10,12.1,0,1.5,47,1842,0.009,90,25,60
92,13,13.5,0,3.2,32,1758,0.042,41,37,172
93,5,15,1,1.2,88,203,0.026,35,24,3
95,2,18.6,0,1,75,274,0.018,115,73,36
96,21,18.8,0,3.9,64,687,0.07,87,52,190
97,21,18.6,0,2.3,35,987,0.031,178,37,139
99,16,22.3,0,2,20,2000,0.055,33,19,264
100,5,12.5,0,2,43,2000,0.04,17,9,23
103,13,25.3,0,2.4,31,1893,0.034,59,32,137
104,12,18.6,0,3.2,56,1276,0.05,51,24,120
105,15,21.1,0,6,19,1957,0.072,35,17,348
106,6,12.7,0,3.9,41,2000,0.039,13,9,38
108,3,17,0,0.5,47,1218,0.039,71,39,21
109,13,24.7,0,2.2,48,1926,0.036,26,18,121
110,3,18.1,0,1.5,64,2000,0.013,31,22,15
111,2,6.4,0,0.9,58,1039,0.031,72,56,3
114,10,20.4,0,1.7,39,1631,0.023,39,22,101
117,2,15.1,0,0.6,47,2000,0.006,38,24,41
