id,종류,제목,감독,배우,국가,등록날짜,발매연도,심의등급,상영시간,장르
s1,영화,Dick Johnson Is Dead,Kirsten Johnson,,미국,2021-09-25,2020.0,PG-13,90 min,Documentaries
s2,TV쇼,Blood & Water,,Ama Qamata/ Khosi Ngema/ Gail Mabalane/ Thabang Molaba/ Dillon Windvogel/ Natasha Thahane/ Arno Greeff/ Xolile Tshabalala/ Getmore Sithole/ Cindy Mahlangu/ Ryle De Morny/ Greteli Fincham/ Sello Maake Ka-Ncube/ Odwa Gwanya/ Mekaila Mathys/ Sandi Schultz/ Duane Williams/ Shamilla Miller/ Patrick Mofokeng,남아프리카공화국,2021-09-24,2021.0,TV-MA,2 Seasons,International TV Shows/ TV Dramas/ TV Mysteries
s3,TV쇼,Ganglands,Julien Leclercq,Sami Bouajila/ Tracy Gotoas/ Samuel Jouy/ Nabiha Akkari/ Sofia Lesaffre/ Salim Kechiouche/ Noureddine Farihi/ Geert Van Rampelberg/ Bakary Diombera,,2021-09-24,2021.0,TV-MA,1 Season,Crime TV Shows/ International TV Shows/ TV Action & Adventure
s4,TV쇼,Jailbirds New Orleans,,,,2021-09-24,2021.0,TV-MA,1 Season,Docuseries/ Reality TV
s5,TV쇼,Kota Factory,,Mayur More/ Jitendra Kumar/ Ranjan Raj/ Alam Khan/ Ahsaas Channa/ Revathi Pillai/ Urvi Singh/ Arun Kumar,인도,2021-09-24,2021.0,TV-MA,2 Seasons,International TV Shows/ Romantic TV Shows/ TV Comedies
s6,TV쇼,Midnight Mass,Mike Flanagan,Kate Siegel/ Zach Gilford/ Hamish Linklater/ Henry Thomas/ Kristin Lehman/ Samantha Sloyan/ Igby Rigney/ Rahul Kohli/ Annarah Cymone/ Annabeth Gish/ Alex Essoe/ Rahul Abburi/ Matt Biedel/ Michael Trucco/ Crystal Balint/ Louis Oliver,,2021-09-24,2021.0,TV-MA,1 Season,TV Dramas/ TV Horror/ TV Mysteries
s7,영화,My Little Pony: A New Generation,Robert Cullen/ José Luis Ucha,Vanessa Hudgens/ Kimiko Glenn/ James Marsden/ Sofia Carson/ Liza Koshy/ Ken Jeong/ Elizabeth Perkins/ Jane Krakowski/ Michael McKean/ Phil LaMarr,,2021-09-24,2021.0,PG,91 min,Children & Family Movies
s8,영화,Sankofa,Haile Gerima,Kofi Ghanaba/ Oyafunmike Ogunlano/ Alexandra Duah/ Nick Medley/ Mutabaruka/ Afemo Omilami/ Reggie Carter/ Mzuri,미국/가나/사이프러스/영국/독일/모잠비크,2021-09-24,1993.0,TV-MA,125 min,Dramas/ Independent Movies/ International Movies
s9,TV쇼,The Great British Baking Show,Andy Devonshire,Mel Giedroyc/ Sue Perkins/ Mary Berry/ Paul Hollywood,영국,2021-09-24,2021.0,TV-14,9 Seasons,British TV Shows/ Reality TV
s10,영화,The Starling,Theodore Melfi,Melissa McCarthy/ Chris O'Dowd/ Kevin Kline/ Timothy Olyphant/ Daveed Diggs/ Skyler Gisondo/ Laura Harrier/ Rosalind Chao/ Kimberly Quinn/ Loretta Devine/ Ravi Kapoor,미국,2021-09-24,2021.0,PG-13,104 min,Comedies/ Dramas
s11,TV쇼,Vendetta: Truth/ Lies and The Mafia,,,,2021-09-24,2021.0,TV-MA,1 Season,Crime TV Shows/ Docuseries/ International TV Shows
s12,TV쇼,Bangkok Breaking,Kongkiat Komesiri,Sukollawat Kanarot/ Sushar Manaying/ Pavarit Mongkolpisit/ Sahajak Boonthanakit/ Suthipongse Thatphithakkul/ Bhasaworn Bawronkirati/ Daweerit Chullasapya/ Waratthaya Wongchayaporn/ Kittiphoom Wongpentak/ Abhicha Thanachanun/ Nophand Boonyai/ Kittipong Khamsat/ Arisara Wongchalee/ Jaytiya Naiwattanakul/ Pantipa Arunwattanachai/ Panupan Jantanawong/ Kungtap Saelim/ Phumphat Chartsuriyakiat/ Issara Veranitinunt/ Keerati Sivakuae/ Panjai Sirisuwan/ Supranee Charoenpol/ Suda Chuenban/ Visaka Banhansupavat/ Pitchatorn Santinatornkul,,2021-09-23,2021.0,TV-MA,1 Season,Crime TV Shows/ International TV Shows/ TV Action & Adventure
s13,영화,Je Suis Karl,Christian Schwochow,Luna Wedler/ Jannis Niewöhner/ Milan Peschel/ Edin Hasanović/ Anna Fialová/ Marlon Boess/ Victor Boccard/ Fleur Geffrier/ Aziz Dyab/ Mélanie Fouché/ Elizaveta Maximová,독일/체코,2021-09-23,2021.0,TV-MA,127 min,Dramas/ International Movies
