id,제목,종류,감독,배우,국가,등록날짜,발매연도,심의등급,상영시간,장르
s1,Dick Johnson Is Dead,영화,Kirsten Johnson,,미국,2021-09-25,2020.0,PG-13,90 min,Documentaries
s2,Blood & Water,TV쇼,,Ama Qamata,남아프리카공화국,2021-09-24,2021.0,TV-MA,2 Seasons,International TV Shows
s3,Ganglands,TV쇼,Julien Leclercq,Sami Bouajila,,2021-09-24,2021.0,TV-MA,1 Season,Crime TV Shows
s4,Jailbirds New Orleans,TV쇼,,,,2021-09-24,2021.0,TV-MA,1 Season,Docuseries
s5,Kota Factory,TV쇼,,Mayur More,인도,2021-09-24,2021.0,TV-MA,2 Seasons,International TV Shows
s6,Midnight Mass,TV쇼,Mike Flanagan,Kate Siegel,,2021-09-24,2021.0,TV-MA,1 Season,TV Dramas
s7,My Little Pony: A New Generation,영화,Robert Cullen,Vanessa Hudgens,,2021-09-24,2021.0,PG,91 min,Children & Family Movies
s8,Sankofa,영화,Haile Gerima,Kofi Ghanaba,미국,2021-09-24,1993.0,TV-MA,125 min,Dramas
s9,The Great British Baking Show,TV쇼,Andy Devonshire,Mel Giedroyc,영국,2021-09-24,2021.0,TV-14,9 Seasons,British TV Shows
s10,The Starling,영화,Theodore Melfi,Melissa McCarthy,미국,2021-09-24,2021.0,PG-13,104 min,Comedies
s11,Vendetta: Truth,TV쇼,,,,2021-09-24,2021.0,TV-MA,1 Season,Crime TV Shows
s12,Bangkok Breaking,TV쇼,Kongkiat Komesiri,Sukollawat Kanarot,,2021-09-23,2021.0,TV-MA,1 Season,Crime TV Shows
s13,Je Suis Karl,영화,Christian Schwochow,Luna Wedler,독일,2021-09-23,2021.0,TV-MA,127 min,Dramas
s14,Confessions of an Invisible Girl,영화,Bruno Garotti,Klara Castanho,,2021-09-22,2021.0,TV-PG,91 min,Children & Family Movies
s15,Crime Stories: India Detectives,TV쇼,,,,2021-09-22,2021.0,TV-MA,1 Season,British TV Shows
s16,Dear White People,TV쇼,,Logan Browning,미국,2021-09-22,2021.0,TV-MA,4 Seasons,TV Comedies
s17,Europe's Most Dangerous Man: Otto Skorzen,영화,Pedro de Echave García,,,2021-09-22,2020.0,TV-MA,67 min,Documentaries
s18,Falsa identidad,TV쇼,,Luis Ernesto Franco,멕시코,2021-09-22,2020.0,TV-MA,2 Seasons,Crime TV Shows
s19,Intrusion,영화,Adam Salky,Freida Pinto,,2021-09-22,2021.0,TV-14,94 min,Thrillers
s20,Jaguar,TV쇼,,Blanca Suárez,,2021-09-22,2021.0,TV-MA,1 Season,International TV Shows
s21,Monsters Inside: The 24 Faces of Billy Mi,TV쇼,Olivier Megaton,,,2021-09-22,2021.0,TV-14,1 Season,Crime TV Shows
s22,Resurrection: Ertugrul,TV쇼,,Engin Altan Düzyatan,튀르키예,2021-09-22,2018.0,TV-14,5 Seasons,International TV Shows
s23,Avvai Shanmughi,영화,K.S. Ravikumar,Kamal Hassan,,2021-09-21,1996.0,TV-PG,161 min,Comedies
s24,Go! Go! Cory Carson: Chrissy Takes the Wh,영화,Alex Woo,Maisie Benson,,2021-09-21,2021.0,TV-Y,61 min,Children & Family Movies
s25,Jeans,영화,S. Shankar,Prashanth,인도,2021-09-21,1998.0,TV-14,166 min,Comedies
s26,Love on the Spectrum,TV쇼,,Brooke Satchwell,호주,2021-09-21,2021.0,TV-14,2 Seasons,Docuseries
s27,Minsara Kanavu,영화,Rajiv Menon,Arvind Swamy,,2021-09-21,1997.0,TV-PG,147 min,Comedies
s28,Grown Ups,영화,Dennis Dugan,Adam Sandler,미국,2021-09-20,2010.0,PG-13,103 min,Comedies
s29,Dark Skies,영화,Scott Stewart,Keri Russell,미국,2021-09-19,2013.0,PG-13,97 min,Horror Movies
s30,Paranoia,영화,Robert Luketic,Liam Hemsworth,미국,2021-09-19,2013.0,PG-13,106 min,Thrillers
s31,Ankahi Kahaniya,영화,Ashwiny Iyer Tiwari,Abhishek Banerjee,,2021-09-17,2021.0,TV-14,111 min,Dramas
s32,Chicago Party Aunt,TV쇼,,Lauren Ash,,2021-09-17,2021.0,TV-MA,1 Season,TV Comedies
s33,Sex Education,TV쇼,,Asa Butterfield,영국,2021-09-17,2020.0,TV-MA,3 Seasons,British TV Shows
s34,Squid Game,TV쇼,,Lee Jung-jae,,2021-09-17,2021.0,TV-MA,1 Season,International TV Shows
s35,Tayo and Little Wizards,TV쇼,,Dami Lee,,2021-09-17,2020.0,TV-Y7,1 Season,Kids' TV
s36,The Father Who Moves Mountains,영화,Daniel Sandu,Adrian Titieni,,2021-09-17,2021.0,TV-MA,110 min,Dramas
s37,The Stronghold,영화,Cédric Jimenez,Gilles Lellouche,,2021-09-17,2021.0,TV-MA,105 min,Action & Adventure
s38,Angry Birds,TV쇼,,Antti Pääkkönen,헝가리,2021-09-16,2018.0,TV-Y7,1 Season,Kids' TV
s39,Birth of the Dragon,영화,George Nolfi,Billy Magnussen,중국,2021-09-16,2017.0,PG-13,96 min,Action & Adventure
s40,Chhota Bheem,TV쇼,,Vatsal Dubey,인도,2021-09-16,2021.0,TV-Y7,3 Seasons,Kids' TV
