"지역(AREA)","코드(CODE)"
"강남구 개포동","A01"
"강남구 논현동","A02"
"강남구 대치동","A03"
"강남구 도곡동","A04"
"강남구 삼성동","A05"
"강남구 세곡동","A06"
"강남구 수서동","A07"
"강남구 신사동","A08"
"강남구 압구정동","A09"
"강남구 역삼동","A10"
"강남구 율현동","A11"
"강남구 일원동","A12"
"강남구 자곡동","A13"
"강남구 청담동","A14"
"강남구 포이동","A15"
"강동구 강일동","B01"
"강동구 고덕동","B02"
"강동구 길동","B03"
"강동구 둔촌동","B04"
"강동구 명일동","B05"
"강동구 상일동","B06"
"강동구 성내동","B07"
"강동구 암사동","B08"
"강동구 천호동","B09"
"강동구 하일동","B10"
"강북구 미아동","C01"
"강북구 번동","C02"
"강북구 삼각산동","C03"
"강북구 삼양동","C04"
"강북구 송중동","C05"
"강북구 송천동","C06"
"강북구 수유동","C07"
"강북구 우이동","C08"
"강북구 인수동","C09"
"강서구 가양동","D01"
"강서구 개화동","D02"
"강서구 공항동","D03"
"강서구 과해동","D04"
"강서구 내발산동","D05"
"강서구 등촌동","D06"
"강서구 마곡동","D07"
"강서구 방화동","D08"
"강서구 염창동","D09"
"강서구 외발산동","D10"
"강서구 우장산동","D11"
"강서구 화곡동","D12"
"관악구 낙성대동","E01"
"관악구 난곡동","E02"
"관악구 난향동","E03"
"관악구 남현동","E04"
"관악구 대학동","E05"
"관악구 미성동","E06"
"관악구 보라매동","E07"
"관악구 봉천동","E08"
"관악구 삼성동","E09"
"관악구 서림동","E10"
"관악구 서원동","E11"
"관악구 성현동","E12"
"관악구 신림동","E13"
"관악구 신사동","E14"
"관악구 신원동","E15"
"관악구 은천동","E16"
"관악구 인헌동","E17"
"관악구 조원동","E18"
"관악구 중앙동","E19"
"관악구 청룡동","E20"
"관악구 청림동","E21"
"관악구 행운동","E22"
"광진구 광장동","F01"
"광진구 구의동","F02"
"광진구 군자동","F03"
"광진구 능동","F04"
"광진구 자양동","F05"
"광진구 중곡동","F06"
"광진구 화양동","F07"
"구로구 가리봉동","G01"
"구로구 개봉동","G02"
"구로구 고척동","G03"
"구로구 구로동","G04"
"구로구 궁동","G05"
"구로구 수궁동","G06"
"구로구 신도림동","G07"
"구로구 오류동","G08"
"구로구 온수동","G09"
"구로구 천왕동","G10"
"구로구 항동","G11"
"금천구 가산동","H01"
"금천구 독산동","H02"
"금천구 시흥동","H03"
"노원구 공릉동","I01"
"노원구 상계동","I02"
"노원구 월계동","I03"
"노원구 중계동","I04"
"노원구 하계동","I05"
"도봉구 도봉동","J01"
"도봉구 방학동","J02"
"도봉구 쌍문동","J03"
"도봉구 창동","J04"
"동대문구 답십리동","K01"
"동대문구 신설동","K02"
"동대문구 용두동","K03"
"동대문구 용신동","K04"
"동대문구 이문동","K05"
"동대문구 장안동","K06"
"동대문구 전농동","K07"
"동대문구 제기동","K08"
"동대문구 청량리동","K09"
"동대문구 회기동","K10"
"동대문구 휘경동","K11"
"동작구 노량진동","L01"
"동작구 대방동","L02"
"동작구 동작동","L03"
"동작구 본동","L04"
"동작구 사당동","L05"
"동작구 상도동","L06"
"동작구 신대방동","L07"
