"업종(UPJONG)","업종코드(UPJONG_CD)","품목(ITEM)","품목코드(ITEM_CD)"
"영화관","01","티켓","01"
"영화관","01","매점","02"
"외식","02","레스토랑","03"
"외식","02","패밀리레스토랑","04"
"외식","02","푸드코드","05"
"외식","02","패스트푸드","06"
"디저트","03","도넛 전문점","07"
"디저트","03","아이스크림 전문점","08"
"디저트","03","커피 전문점","09"
"디저트","03","카페(버블티)","10"
"마트/편의점/슈퍼/H&B디저트 소비","04","캔디류","11"
"마트/편의점/슈퍼/H&B디저트 소비","04","비스켓류","12"
"마트/편의점/슈퍼/H&B디저트 소비","04","초콜릿류","13"
"마트/편의점/슈퍼/H&B디저트 소비","04","반생케익류","14"
"마트/편의점/슈퍼/H&B디저트 소비","04","기타과자류","15"
"마트/편의점/슈퍼/H&B디저트 소비","04","빵/케익/떡류","16"
"마트/편의점/슈퍼/H&B디저트 소비","04","즉석빵류","17"
"마트/편의점/슈퍼/H&B디저트 소비","04","빵/과자세트","18"
"마트/편의점/슈퍼/H&B디저트 소비","04","기타빵/과자류","19"
"마트/편의점/슈퍼/H&B디저트 소비","04","아이스크림 제품류","20"
