날짜,요일,공휴일,날씨,유료합계,어른,청소년,어린이,외국인,단체,무료합계,총계
2016-01-01,금,1,구름 조금,"3,359","2,799",141,419,47,0,"1,023","4,382"
2016-01-02,토,1,구름 많음,"5,173","4,370",203,600,100,111,"2,092","7,265"
2016-01-03,일,1,구름 많음,"3,008","2,571",128,309,91,0,"1,549","4,557"
2016-01-04,월,0,구름 많음,890,602,53,235,51,223,800,"1,690"
2016-01-05,화,0,구름 많음,416,319,35,62,43,47,840,"1,256"
2016-01-06,수,0,구름 조금,367,277,41,49,34,0,807,"1,174"
2016-01-07,목,0,맑음,309,250,23,36,13,0,735,"1,044"
2016-01-08,금,0,구름 조금,315,251,28,36,30,0,611,926
2016-01-09,토,1,구름 많음,"1,418","1,227",78,113,47,80,"1,222","2,640"
2016-01-10,일,1,구름 많음,"2,211","1,839",96,276,34,61,"1,393","3,604"
2016-01-11,월,0,구름 조금,368,268,40,60,23,0,628,996
2016-01-12,화,0,구름 조금,862,531,27,304,12,614,780,"1,642"
2016-01-13,수,0,구름 많음,240,192,21,27,24,0,767,"1,007"
2016-01-14,목,0,구름 조금,252,200,37,15,13,5,620,872
2016-01-15,금,0,구름 조금,339,253,35,51,14,0,708,"1,047"
2016-01-16,토,1,구름 많음,"1,720","1,395",97,228,23,167,"1,277","2,997"
2016-01-17,일,1,흐림,"2,313","1,954",94,265,9,30,"1,135","3,448"
2016-01-18,월,0,구름 많음,216,162,29,25,9,0,592,808
2016-01-19,화,0,맑음,78,61,9,8,13,0,222,300
2016-01-20,수,0,맑음,82,69,7,6,17,0,340,422
2016-01-21,목,0,구름 많음,153,119,15,19,3,0,474,627
2016-01-22,금,0,구름 조금,128,81,32,15,6,0,458,586
2016-01-23,토,1,구름 조금,296,198,80,18,6,71,594,890
2016-01-24,일,1,구름 조금,128,110,9,9,23,0,196,324
2016-01-25,월,0,맑음,72,58,10,4,5,0,350,422
2016-01-26,화,0,눈,150,123,11,16,10,0,608,758
2016-01-27,수,0,구름 조금,394,287,61,46,29,0,824,"1,218"
2016-01-28,목,0,구름 많음,370,290,46,34,9,0,776,"1,146"
2016-01-29,금,0,흐림,"1,074",663,50,361,46,571,703,"1,777"
2016-01-30,토,1,구름 조금,"2,655","2,266",146,243,72,0,"1,473","4,128"
2016-01-31,일,1,구름 조금,"1,510","1,304",57,149,28,0,"1,074","2,584"
2016-02-01,월,0,맑음,"3,238",188,"3,033",17,18,"3,000",508,"3,746"
2016-02-02,화,0,맑음,"2,199",166,"2,023",10,8,"2,000",728,"2,927"
2016-02-03,수,0,구름 조금,296,264,23,9,32,0,834,"1,130"
2016-02-04,목,0,구름 조금,371,319,31,21,28,0,749,"1,120"
2016-02-05,금,0,구름 조금,304,234,41,29,14,0,536,840
2016-02-06,토,1,맑음,"1,082",924,53,105,40,0,976,"2,058"
2016-02-07,일,1,맑음,"1,452","1,251",74,127,191,0,676,"2,128"
2016-02-08,월,1,구름 많음,"2,654","2,286",123,245,429,0,567,"3,221"
2016-02-09,화,1,맑음,"5,453","4,610",223,620,209,0,"1,607","7,060"
2016-02-10,수,1,맑음,"7,080","6,037",251,792,141,0,"2,869","9,949"
2016-02-11,목,0,구름 많음,"2,077","1,545",113,419,98,671,"1,021","3,098"
2016-02-12,금,0,비,97,74,17,6,0,0,260,357
2016-02-13,토,1,흐림,"1,609","1,401",41,167,54,45,"1,133","2,742"
2016-02-14,일,1,흐림,"1,053",862,83,108,63,0,989,"2,042"
2016-02-15,월,0,맑음,250,194,27,29,39,0,446,696
2016-02-16,화,0,구름 많음,235,178,25,32,40,0,759,994
2016-02-17,수,0,맑음,579,440,93,46,21,0,850,"1,429"
2016-02-18,목,0,구름 많음,698,529,83,86,68,0,924,"1,622"
2016-02-19,금,0,구름 많음,737,555,98,84,26,0,893,"1,630"
2016-02-20,토,1,구름 조금,"4,718","3,926",193,599,45,73,"1,908","6,626"
2016-02-21,일,1,맑음,"3,507","2,911",157,439,89,0,"1,595","5,102"
2016-02-22,월,0,흐림,693,522,74,97,8,0,705,"1,398"
2016-02-23,화,0,구름 많음,815,559,106,150,32,65,911,"1,726"
2016-02-24,수,0,맑음,542,371,82,89,19,33,791,"1,333"
2016-02-25,목,0,구름 조금,723,524,80,119,15,0,815,"1,538"
2016-02-26,금,0,구름 조금,"1,375",992,194,189,19,69,"1,144","2,519"
2016-02-27,토,1,구름 많음,"4,798","3,990",197,611,0,175,"1,721","6,519"
2016-02-28,일,1,구름 많음,"3,366","2,748",153,465,51,0,"1,604","4,970"
2016-02-29,월,0,구름 조금,674,476,92,106,27,0,559,"1,233"
2016-03-01,화,1,맑음,"2,937","2,450",198,289,31,104,"1,570","4,507"
2016-03-02,수,0,구름 조금,"1,171",878,21,272,8,605,975,"2,146"
2016-03-03,목,0,흐림,733,721,2,10,20,0,"1,050","1,783"
2016-03-04,금,0,흐림,"1,629","1,572",16,41,2,63,"1,154","2,783"
2016-03-05,토,1,흐림,568,495,12,61,10,0,837,"1,405"
2016-03-06,일,1,구름 많음,"8,797","7,669",219,909,108,0,"2,767","11,564"
2016-03-07,월,0,구름 많음,705,683,5,17,21,0,775,"1,480"
2016-03-08,화,0,,"10,480",465,"10,007",8,8,"10,000","1,041","11,521"
2016-03-09,수,0,,393,384,2,7,41,0,862,"1,255"
2016-03-10,목,0,,294,283,0,11,14,30,890,"1,184"
2016-03-11,금,0,,"1,569",975,12,582,21,"1,209",736,"2,305"
2016-03-12,토,1,흐림,"5,251","4,427",171,653,55,86,"2,209","7,460"
2016-03-13,일,1,흐림,"4,557","3,897",125,535,87,100,"1,795","6,352"
2016-03-14,월,0,구름 많음,"1,215","1,175",10,30,57,0,"1,170","2,385"
2016-03-15,화,0,맑음,"1,238","1,205",10,23,53,41,"1,303","2,541"
2016-03-16,수,0,구름 조금,"1,513","1,465",7,41,40,0,"1,184","2,697"
2016-03-17,목,0,구름 조금,"1,342","1,270",37,35,36,62,"1,187","2,529"
2016-03-18,금,0,흐림,"1,736","1,663",13,48,29,0,"1,100","2,836"
2016-03-19,토,1,구름 조금,"26,448","22,735",422,"2,990",112,178,"6,683","33,131"
2016-03-20,일,1,구름 조금,"27,093","22,947",535,"3,370",176,0,"7,267","34,360"
2016-03-21,월,0,맑음,"2,358","2,223",14,70,58,0,"1,179","3,537"
2016-03-22,화,0,구름 조금,"1,832","1,755",20,41,74,53,"1,506","3,338"
2016-03-23,수,0,구름 조금,"1,553","1,365",58,69,22,57,"1,234","2,787"
2016-03-24,목,0,맑음,"1,322","1,223",37,61,50,63,"1,116","2,438"
2016-03-25,금,0,구름 조금,"1,999","1,705",79,85,65,38,"1,292","3,291"
2016-03-26,토,1,맑음,"16,958","14,114",408,"2,094",192,62,"4,790","21,748"
2016-03-27,일,1,맑음,"23,610","20,041",487,"2,860",205,60,"6,879","30,489"
2016-03-28,월,0,맑음,"2,666","2,477",85,86,97,131,"1,470","4,136"
