날짜,요일,공휴일,날씨,유료합계,무료합계,어른,청소년,어린이,단체,총계
2016-01-01,금,1.0,구름 조금,3359.0,1023.0,2799.0,141.0,419.0,0.0,4382.0
2016-01-02,토,1.0,구름 많음,5173.0,2092.0,4370.0,203.0,600.0,111.0,7265.0
2016-01-03,일,1.0,구름 많음,3008.0,1549.0,2571.0,128.0,309.0,0.0,4557.0
2016-01-04,월,0.0,구름 많음,890.0,800.0,602.0,53.0,235.0,223.0,1690.0
2016-01-05,화,0.0,구름 많음,416.0,840.0,319.0,35.0,62.0,47.0,1256.0
2016-01-06,수,0.0,구름 조금,367.0,807.0,277.0,41.0,49.0,0.0,1174.0
2016-01-07,목,0.0,맑음,309.0,735.0,250.0,23.0,36.0,0.0,1044.0
2016-01-08,금,0.0,구름 조금,315.0,611.0,251.0,28.0,36.0,0.0,926.0
2016-01-09,토,1.0,구름 많음,1418.0,1222.0,1227.0,78.0,113.0,80.0,2640.0
2016-01-10,일,1.0,구름 많음,2211.0,1393.0,1839.0,96.0,276.0,61.0,3604.0
2016-01-11,월,0.0,구름 조금,368.0,628.0,268.0,40.0,60.0,0.0,996.0
2016-01-12,화,0.0,구름 조금,862.0,780.0,531.0,27.0,304.0,614.0,1642.0
2016-01-13,수,0.0,구름 많음,240.0,767.0,192.0,21.0,27.0,0.0,1007.0
2016-01-14,목,0.0,구름 조금,252.0,620.0,200.0,37.0,15.0,5.0,872.0
2016-01-15,금,0.0,구름 조금,339.0,708.0,253.0,35.0,51.0,0.0,1047.0
2016-01-16,토,1.0,구름 많음,1720.0,1277.0,1395.0,97.0,228.0,167.0,2997.0
2016-01-17,일,1.0,흐림,2313.0,1135.0,1954.0,94.0,265.0,30.0,3448.0
2016-01-18,월,0.0,구름 많음,216.0,592.0,162.0,29.0,25.0,0.0,808.0
2016-01-19,화,0.0,맑음,78.0,222.0,61.0,9.0,8.0,0.0,300.0
2016-01-20,수,0.0,맑음,82.0,340.0,69.0,7.0,6.0,0.0,422.0
2016-01-21,목,0.0,구름 많음,153.0,474.0,119.0,15.0,19.0,0.0,627.0
2016-01-22,금,0.0,구름 조금,128.0,458.0,81.0,32.0,15.0,0.0,586.0
2016-01-23,토,1.0,구름 조금,296.0,594.0,198.0,80.0,18.0,71.0,890.0
2016-01-24,일,1.0,구름 조금,128.0,196.0,110.0,9.0,9.0,0.0,324.0
2016-01-25,월,0.0,맑음,72.0,350.0,58.0,10.0,4.0,0.0,422.0
2016-01-26,화,0.0,눈/비,150.0,608.0,123.0,11.0,16.0,0.0,758.0
2016-01-27,수,0.0,구름 조금,394.0,824.0,287.0,61.0,46.0,0.0,1218.0
2016-01-28,목,0.0,구름 많음,370.0,776.0,290.0,46.0,34.0,0.0,1146.0
2016-01-29,금,0.0,흐림,1074.0,703.0,663.0,50.0,361.0,571.0,1777.0
2016-01-30,토,1.0,구름 조금,2655.0,1473.0,2266.0,146.0,243.0,0.0,4128.0
2016-01-31,일,1.0,구름 조금,1510.0,1074.0,1304.0,57.0,149.0,0.0,2584.0
2016-02-01,월,0.0,맑음,3238.0,508.0,188.0,3033.0,17.0,3000.0,3746.0
2016-02-02,화,0.0,맑음,2199.0,728.0,166.0,2023.0,10.0,2000.0,2927.0
2016-02-03,수,0.0,구름 조금,296.0,834.0,264.0,23.0,9.0,0.0,1130.0
2016-02-04,목,0.0,구름 조금,371.0,749.0,319.0,31.0,21.0,0.0,1120.0
2016-02-05,금,0.0,구름 조금,304.0,536.0,234.0,41.0,29.0,0.0,840.0
2016-02-06,토,1.0,맑음,1082.0,976.0,924.0,53.0,105.0,0.0,2058.0
2016-02-07,일,1.0,맑음,1452.0,676.0,1251.0,74.0,127.0,0.0,2128.0
2016-02-08,월,1.0,구름 많음,2654.0,567.0,2286.0,123.0,245.0,0.0,3221.0
2016-02-09,화,1.0,맑음,5453.0,1607.0,4610.0,223.0,620.0,0.0,7060.0
2016-02-10,수,1.0,맑음,7080.0,2869.0,6037.0,251.0,792.0,0.0,9949.0
2016-02-11,목,0.0,구름 많음,2077.0,1021.0,1545.0,113.0,419.0,671.0,3098.0
2016-02-12,금,0.0,눈/비,97.0,260.0,74.0,17.0,6.0,0.0,357.0
2016-02-13,토,1.0,흐림,1609.0,1133.0,1401.0,41.0,167.0,45.0,2742.0
2016-02-14,일,1.0,흐림,1053.0,989.0,862.0,83.0,108.0,0.0,2042.0
2016-02-15,월,0.0,맑음,250.0,446.0,194.0,27.0,29.0,0.0,696.0
2016-02-16,화,0.0,구름 많음,235.0,759.0,178.0,25.0,32.0,0.0,994.0
2016-02-17,수,0.0,맑음,579.0,850.0,440.0,93.0,46.0,0.0,1429.0
2016-02-18,목,0.0,구름 많음,698.0,924.0,529.0,83.0,86.0,0.0,1622.0
2016-02-19,금,0.0,구름 많음,737.0,893.0,555.0,98.0,84.0,0.0,1630.0
2016-02-20,토,1.0,구름 조금,4718.0,1908.0,3926.0,193.0,599.0,73.0,6626.0
2016-02-21,일,1.0,맑음,3507.0,1595.0,2911.0,157.0,439.0,0.0,5102.0
2016-02-22,월,0.0,흐림,693.0,705.0,522.0,74.0,97.0,0.0,1398.0
2016-02-23,화,0.0,구름 많음,815.0,911.0,559.0,106.0,150.0,65.0,1726.0
2016-02-24,수,0.0,맑음,542.0,791.0,371.0,82.0,89.0,33.0,1333.0
2016-02-25,목,0.0,구름 조금,723.0,815.0,524.0,80.0,119.0,0.0,1538.0
2016-02-26,금,0.0,구름 조금,1375.0,1144.0,992.0,194.0,189.0,69.0,2519.0
2016-02-27,토,1.0,구름 많음,4798.0,1721.0,3990.0,197.0,611.0,175.0,6519.0
2016-02-28,일,1.0,구름 많음,3366.0,1604.0,2748.0,153.0,465.0,0.0,4970.0
2016-02-29,월,0.0,구름 조금,674.0,559.0,476.0,92.0,106.0,0.0,1233.0
2016-03-01,화,1.0,맑음,2937.0,1570.0,2450.0,198.0,289.0,104.0,4507.0
2016-03-02,수,0.0,구름 조금,1171.0,975.0,878.0,21.0,272.0,605.0,2146.0
2016-03-03,목,0.0,흐림,733.0,1050.0,721.0,2.0,10.0,0.0,1783.0
2016-03-04,금,0.0,흐림,1629.0,1154.0,1572.0,16.0,41.0,63.0,2783.0
2016-03-05,토,1.0,흐림,568.0,837.0,495.0,12.0,61.0,0.0,1405.0
2016-03-06,일,1.0,구름 많음,8797.0,2767.0,7669.0,219.0,909.0,0.0,11564.0
2016-03-07,월,0.0,구름 많음,705.0,775.0,683.0,5.0,17.0,0.0,1480.0
2016-03-08,화,0.0,,10480.0,1041.0,465.0,10007.0,8.0,10000.0,11521.0
2016-03-09,수,0.0,,393.0,862.0,384.0,2.0,7.0,0.0,1255.0
2016-03-10,목,0.0,,294.0,890.0,283.0,0.0,11.0,30.0,1184.0
2016-03-11,금,0.0,,1569.0,736.0,975.0,12.0,582.0,1209.0,2305.0
2016-03-12,토,1.0,흐림,5251.0,2209.0,4427.0,171.0,653.0,86.0,7460.0
2016-03-13,일,1.0,흐림,4557.0,1795.0,3897.0,125.0,535.0,100.0,6352.0
2016-03-14,월,0.0,구름 많음,1215.0,1170.0,1175.0,10.0,30.0,0.0,2385.0
2016-03-15,화,0.0,맑음,1238.0,1303.0,1205.0,10.0,23.0,41.0,2541.0
