Country ID,Country,"Time Series - CO₂ total emissions  without LULUCF, in 1000 t",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CO2 emissions, latest year",% change since 1990,"CO2 emissions 
per capita, 
latest year"
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,1000 t,%,kg
4,Afghanistan,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"3,222.20",...,...,...,...,...,...,...,"9,851.00",...,...,...,...,...,2013,9851.00,...,0.31
8,Albania,"3,101.66","5,166.70","3,311.06","3,235.47","3,500.49","3,477.42","3,341.56","3,426.64","4,139.06","4,478.33","3,507.90","4,224.10","4,283.95","4,614.75","4,939.11","4,953.33","4,944.38","5,395.06","5,530.30","5,942.57",...,...,...,...,...,...,...,...,...,2009,5942.57,91.59,2.00
12,Algeria,...,...,...,...,"63,705.00",...,...,...,...,...,"71,593.26",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,71593.26,...,2.31
24,Angola,...,...,...,...,...,...,...,...,...,...,"16,317.00",...,...,...,...,"27,809.00",...,...,...,...,...,...,...,...,...,...,...,...,...,2005,27809.00,...,1.43
28,Antigua and Barbuda,288.14,...,...,...,...,...,...,...,...,...,371.88,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,371.88,29.06,4.89
32,Argentina,"1,00,867.50",...,...,...,"1,17,595.97",...,...,"1,25,563.93",...,...,"1,28,323.87",...,...,...,...,...,...,...,...,...,"1,81,939.49",...,"1,88,265.15",...,...,...,...,...,...,2012,188265.15,86.65,4.51
51,Armenia,"21,615.96",...,...,...,...,...,...,...,...,...,"3,199.57",...,...,...,...,...,"4,173.95",...,...,...,"4,456.99",...,...,...,...,...,...,...,...,2010,4456.99,-79.38,1.55
36,Australia,"2,78,424.66","2,79,872.66","2,84,912.44","2,89,235.19","2,94,014.96","3,05,410.17","3,12,361.59","3,20,795.09","3,34,684.52","3,44,063.77","3,50,195.02","3,57,669.18","3,62,209.55","3,69,726.02","3,83,205.12","3,86,513.45","3,92,680.65","3,99,842.46","4,04,417.41","4,07,463.33","4,05,502.80","4,04,172.76","4,06,506.24","3,97,943.18","3,94,116.89","4,01,554.76","4,11,031.53","4,15,097.43","4,15,953.95",2018,415953.95,49.40,16.71
40,Austria,"62,124.70","65,725.53","60,204.07","60,635.42","61,002.44","64,065.26","67,421.59","67,232.78","66,875.15","65,562.72","66,162.89","70,102.60","71,918.76","77,554.25","77,674.39","79,192.43","76,898.33","74,262.59","73,588.40","67,493.95","72,011.84","69,898.24","67,209.10","67,745.69","64,084.43","66,283.24","67,112.27","69,628.86","66,719.68",2018,66719.68,7.40,7.50
31,Azerbaijan,"55,893.73","51,901.46","44,546.68","39,136.42","34,272.68","36,561.35","29,965.84","28,935.02","28,567.01","27,869.25","29,010.24","28,243.15","28,031.43","30,733.16","33,010.79","35,472.53","34,310.57","29,284.63","32,283.34","26,893.10","26,411.83","28,083.87","29,847.75","39,228.89",...,...,...,...,...,2013,39228.89,-29.82,4.18
44,Bahamas,"1,894.20",...,...,...,"1,866.20",...,...,...,...,...,660.44,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,660.44,-65.13,2.22
48,Bahrain,...,...,...,...,"16,483.00",...,...,...,...,...,"18,170.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,18170.00,...,27.34
50,Bangladesh,...,...,...,...,"16,459.73",...,...,...,...,...,...,"33,148.52",...,...,...,"40,862.34",...,...,...,...,...,...,...,...,...,...,...,...,...,2005,40862.34,...,0.29
52,Barbados,"1,564.22",...,...,...,"1,913.38",...,...,"2,198.32",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1997,2198.32,40.54,8.20
112,Belarus,"1,03,689.71","96,647.13","88,662.01","76,380.05","62,367.89","57,375.45","58,214.80","58,720.59","57,372.47","54,984.50","54,877.36","54,967.87","55,077.70","56,484.95","60,076.47","61,367.10","64,157.16","63,569.93","65,694.82","61,402.70","63,156.39","62,106.74","63,008.35","63,743.45","63,083.64","58,633.06","60,284.85","60,742.93","61,871.68",2018,61871.68,-40.33,6.55
56,Belgium,"1,20,309.34","1,23,382.08","1,22,507.84","1,21,444.20","1,24,816.90","1,25,956.47","1,29,496.58","1,24,001.76","1,30,227.11","1,24,718.90","1,26,735.30","1,26,084.68","1,26,878.58","1,28,275.26","1,28,805.29","1,25,661.69","1,23,905.76","1,20,496.16","1,20,202.86","1,07,743.37","1,14,561.03","1,05,046.06","1,02,428.75","1,02,674.40","96,811.32","1,00,981.34","99,806.94","99,456.28","1,00,207.84",2018,100207.84,-16.71,8.73
84,Belize,...,...,...,...,598.07,...,...,...,...,...,...,...,...,3.93,...,...,4.71,...,...,5.93,...,...,...,...,...,...,...,...,...,2009,5.93,...,0.02
204,Benin,...,...,...,...,...,802.34,...,...,...,...,"1,416.38",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,1416.38,...,0.21
64,Bhutan,...,...,...,...,228.46,...,...,...,...,...,498.07,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,498.07,...,0.84
68,Bolivia (Plurinational State of),"5,386.19",...,...,...,"8,146.25",...,...,...,"8,930.90",...,"7,782.84",...,"9,073.28",...,"9,786.04",...,...,...,...,...,...,...,...,...,...,...,...,...,...,2004,9786.04,81.69,1.08
70,Bosnia and Herzegovina,"26,461.07","23,850.30","5,933.32","2,208.48","2,426.14","2,140.56","4,429.62","7,022.49","10,776.92","10,968.00","11,633.23","12,239.58",...,...,...,...,...,...,...,...,...,...,...,"19,418.00","21,712.00",...,...,...,...,2014,21712.00,-17.95,6.24
72,Botswana,...,...,...,...,"3,014.50",...,...,...,...,...,"3,979.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,"7,435.22",...,...,...,2015,7435.22,...,3.51
76,Brazil,"2,13,555.00","2,24,675.00","2,26,821.00","2,35,656.00","2,45,012.00","2,63,283.00","2,82,440.00","2,99,443.00","3,10,259.00","3,20,522.00","3,31,466.00","3,38,212.00","3,37,959.00","3,33,001.00","3,49,853.00","3,56,897.00","3,61,457.00","3,80,822.00","4,02,090.00","3,81,380.00","4,29,844.00","4,50,956.00","4,82,697.00","5,11,858.00","5,32,094.00","5,04,747.00",...,...,...,2015,504747.00,136.35,2.47
96,Brunei Darussalam,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"5,882.59",...,...,...,...,...,...,...,...,2010,5882.59,...,15.14
