지역,단지명,전용면적,계약일,거래금액(만원),층,건축년도
강남구,개포래미안포레스트,84.83,25,240000,33,2020
강남구,개포래미안포레스트,84.86,29,240000,5,2020
강남구,디에이치아너힐즈,84.3558,26,250000,19,2019
강남구,삼익대청아파트,60.0,14,134000,7,1992
강남구,성원대치2단지아파트,39.53,15,102500,3,1992
강남구,성원대치2단지아파트,33.18,16,84700,13,1992
강남구,로체샤르캐슬,106.59,10,139000,4,2009
강남구,쌍용,84.87,12,105000,3,1996
강남구,한양수자인어반게이트,20.23,2,28000,7,2013
강남구,"대치우성아파트1동,2동,3동,5동,6동,7동",115.59,22,260000,4,1984
강남구,래미안대치팰리스,94.49,16,348000,15,2015
강남구,래미안대치팰리스,91.93,17,291000,20,2015
강남구,선경1차(1동-7동),136.68,11,385000,11,1983
강남구,선경3차,76.6,3,210000,7,1990
강남구,은마,84.43,1,235000,10,1979
강남구,은마,76.79,5,191500,10,1979
강남구,은마,76.79,8,177000,1,1979
강남구,은마,84.43,16,220000,4,1979
강남구,은마,84.43,21,215000,5,1979
강남구,은마,84.43,22,226000,12,1979
강남구,대명비발디,82.67,7,99500,3,2003
강남구,삼성,73.41,9,144000,11,1994
강남구,삼성래미안,59.96,29,165000,1,2001
강남구,타워팰리스1,137.24,30,345000,28,2002
강남구,신동아,33.18,12,80000,10,1992
강남구,신현대11차,183.41,25,560000,9,1983
강남구,한양5,100.5,30,268000,10,1979
강남구,리츠빌,93.22,16,85000,4,2003
강남구,상록수,74.54,9,160000,1,1993
강남구,수서,49.68,3,100000,10,1992
강남구,푸른마을아파트101동~111동,84.93,2,154000,2,1994
강남구,래미안강남힐즈,101.95,6,184000,12,2014
강남구,래미안강남힐즈,91.96,12,189000,3,2014
강남구,래미안강남힐즈,91.96,15,176000,11,2014
강남구,청담CJ빌리지,159.94,16,245000,4,2004
강동구,고덕 아이파크,59.99,22,100000,4,2011
강동구,고덕그라시움,84.244,6,139000,5,2019
강동구,고덕그라시움,73.873,7,90000,23,2019
강동구,고덕그라시움,59.785,12,104500,20,2019
강동구,고덕그라시움,59.785,12,107000,3,2019
강동구,고덕그라시움,84.046,20,140000,22,2019
강동구,고덕그라시움,59.052,20,112000,15,2019
강동구,고덕그라시움,59.785,22,102000,7,2019
강동구,고덕센트럴푸르지오,59.09,20,82000,17,2020
강동구,래미안힐스테이트고덕,84.88,5,122600,13,2016
강동구,길동우성,84.75,1,87000,15,1994
강동구,다성이즈빌,84.76,1,65000,1,2003
강동구,둔촌푸르지오,59.98,16,85000,16,2010
강동구,둔촌푸르지오,84.9,27,110000,13,2010
강동구,고덕롯데캐슬베네루체,84.146,8,108500,28,2019
강동구,고덕롯데캐슬베네루체,84.923,10,100000,1,2019
강동구,고덕롯데캐슬베네루체,84.923,11,110000,19,2019
강동구,고덕롯데캐슬베네루체,59.981,19,92500,4,2019
강동구,고덕롯데캐슬베네루체,84.923,24,109500,10,2019
강동구,고덕아르테온,84.97,2,130000,10,2020
강동구,고덕아르테온,59.98,4,107000,18,2020
강동구,고덕아르테온,84.93,13,129000,7,2020
강동구,고덕아르테온,59.98,16,93000,2,2020
강동구,고덕아르테온,59.96,18,104000,12,2020
강동구,고덕아르테온,84.94,18,131500,16,2020
강동구,고덕아르테온,84.93,29,130000,25,2020
강동구,고덕아르테온,84.93,29,129300,8,2020
강동구,고덕자이,84.445,19,120500,5,2021
강동구,고덕자이,84.9712,30,121000,23,2021
강동구,동아,59.25,1,64500,17,1997
강동구,성내동삼성아파트,59.88,15,85000,11,1999
강동구,한양립스,12.33,7,13000,7,2014
강동구,롯데캐슬퍼스트,84.98,23,100000,18,2008
강동구,선사현대아파트,59.64,10,58000,5,2000
강동구,선사현대아파트,59.64,19,73000,7,2000
강동구,선사현대아파트,58.68,19,57000,15,2000
강동구,선사현대아파트,59.64,24,69000,6,2000
강동구,선사현대아파트,59.64,29,77000,7,2000
강동구,현진리버파크,23.26,10,29500,4,2017
강북구,꿈의숲롯데캐슬,84.98,12,80000,9,2017
강북구,벽산라이브파크,114.68,21,81000,4,2004
강북구,에스케이북한산시티,59.98,7,56000,24,2004
강북구,에스케이북한산시티,84.76,12,69750,12,2004
강북구,에스케이북한산시티,59.98,21,56000,12,2004
강북구,주공4단지,84.79,24,60000,1,1991
강북구,수유벽산1차,122.58,8,82200,14,1993
