순위,영화명,관객수
1,명량,"17,615,919"
2,극한직업,"16,266,338"
3,신과함께-죄와 벌,"14,414,658"
4,국제시장,"14,264,478"
5,어벤져스: 엔드게임,"13,977,602"
6,겨울왕국 2,"13,747,792"
7,베테랑,"13,414,484"
8,아바타,"13,338,863"
9,도둑들,"12,984,701"
10,7번방의 선물,"12,812,144"
11,알라딘,"12,797,927"
12,암살,"12,706,947"
13,범죄도시2,"12,693,415"
14,"광해, 왕이 된 남자","12,324,062"
15,신과함께-인과 연,"12,278,010"
16,택시운전사,"12,189,706"
17,부산행,"11,567,815"
18,변호인,"11,375,399"
19,해운대,"11,325,117"
20,어벤져스: 인피니티 워,"11,233,176"
21,괴물,"10,917,400"
22,왕의 남자,"10,514,177"
23,어벤져스: 에이지 오브 울트론,"10,504,487"
24,인터스텔라,"10,342,523"
25,기생충,"10,313,513"
26,겨울왕국,"10,303,058"
27,보헤미안 랩소디,"9,948,386"
28,검사외전,"9,707,581"
29,엑시트,"9,426,960"
30,설국열차,"9,353,799"
31,관상,"9,135,806"
32,아이언맨 3,"9,001,679"
33,아바타: 물의 길,"8,847,172"
34,캡틴 아메리카: 시빌 워,"8,678,761"
35,해적: 바다로 간 산적,"8,666,208"
36,수상한 그녀,"8,660,760"
37,백두산,"8,253,427"
38,과속스캔들,"8,223,342"
39,탑건: 매버릭,"8,177,446"
40,국가대표,"8,035,181"
41,스파이더맨: 파 프롬 홈,"8,023,606"
42,디워,"7,855,474"
43,공조,"7,817,686"
44,트랜스포머 3,"7,785,189"
45,히말라야,"7,759,761"
46,스파이더맨: 노 웨이 홈,"7,551,990"
47,미션임파서블:고스트프로토콜,"7,508,976"
48,밀정,"7,500,457"
49,최종병기 활,"7,470,633"
50,트랜스포머,"7,402,732"
51,트랜스포머: 패자의 역습,"7,393,443"
52,써니,"7,363,142"
53,한산: 용의 출현,"7,264,934"
54,스파이더맨: 홈 커밍,"7,258,678"
55,1987,"7,232,452"
56,베를린,"7,166,688"
57,마스터,"7,150,586"
58,터널,"7,120,780"
59,어벤져스,"7,087,971"
60,내부자들,"7,073,581"
61,인천상륙작전,"7,051,237"
62,공조2: 인터내셔날,"6,982,840"
63,럭키,"6,975,631"
64,은밀하게 위대하게,"6,959,083"
65,범죄도시,"6,880,546"
66,곡성,"6,879,989"
67,화려한 휴가,"6,855,433"
68,"좋은 놈, 나쁜 놈, 이상한 놈","6,686,075"
69,늑대소년,"6,655,501"
70,군함도,"6,592,151"
71,미션 임파서블: 폴아웃,"6,584,915"
72,웰컴 투 동막골,"6,436,900"
73,다크 나이트 라이즈,"6,428,574"
74,사도,"6,247,745"
75,아저씨,"6,179,525"
76,킹스맨 : 시크릿 에이전트,"6,129,681"
77,미션 임파서블: 로그네이션,"6,126,488"
78,미녀는 괴로워,"6,081,480"
79,전우치,"6,065,474"
80,연평해전,"6,045,353"
81,인셉션,"5,998,647"
82,레미제라블,"5,938,797"
83,닥터 스트레인지: 대혼돈의 멀티버스,"5,884,587"
84,캡틴 마블,"5,802,810"
85,타짜,"5,692,997"
86,쥬라기 월드: 폴른 킹덤,"5,661,128"
87,청년경찰,"5,653,444"
88,숨바꼭질,"5,604,106"
89,덕혜옹주,"5,599,995"
90,더 테러 라이브,"5,584,295"
91,쥬라기 월드,"5,547,463"
92,감시자들,"5,509,019"
93,앤트맨과 와스프,"5,448,134"
94,닥터 스트레인지,"5,447,269"
95,검은 사제들,"5,443,232"
96,안시성,"5,441,020"
97,의형제,"5,416,923"
98,블랙 팬서,"5,400,241"
99,2012,"5,397,597"
100,더 킹,"5,318,202"
101,완득이,"5,311,353"
102,트랜스포머: 사라진 시대,"5,295,836"
103,완벽한 타인,"5,294,154"
104,조커,"5,255,308"
105,월드 워 Z,"5,244,336"
106,타워,"5,181,244"
107,미녀와 야수,"5,156,372"
108,미션 임파서블 3,"5,127,047"
109,투사부일체,"5,074,314"
110,쿵푸팬더 2,"5,064,796"
111,독전,"5,064,323"
112,추격자,"5,046,096"
113,아쿠아맨,"5,041,187"
114,공작,"4,975,517"
115,인사이드 아웃,"4,969,735"
116,킹스맨: 골든 서클,"4,945,484"
117,바람과 함께 사라지다,"4,909,950"
118,마션,"4,887,144"
119,토르: 라그나로크,"4,858,572"
120,어메이징 스파이더맨,"4,853,273"
121,"님아, 그 강을 건너지 마오","4,802,642"
122,봉오동 전투,"4,787,579"
123,조선명탐정 : 각시투구꽃의 비밀,"4,786,259"
124,군도: 민란의 시대,"4,775,924"
125,남산의 부장들,"4,750,345"
126,라이온 킹,"4,743,295"
127,범죄와의 전쟁: 나쁜놈들 전성시대,"4,720,172"
128,엣지 오브 투모로우,"4,706,213"
129,주토피아,"4,706,158"
130,신세계,"4,689,711"
131,신비한 동물사전,"4,669,702"
132,도가니,"4,662,926"
133,쿵푸 팬더,"4,654,266"
134,내 아내의 모든 것,"4,598,985"
135,스파이더맨 3,"4,592,309"
136,판도라,"4,585,116"
137,맘마미아!,"4,579,773"
138,나쁜 녀석들: 더 무비,"4,573,902"
139,캐리비안의 해적: 세상의 끝에서,"4,571,229"
140,가문의 위기(가문의 영광2),"4,529,876"
141,연가시,"4,516,063"
142,터미네이터 : 미래전쟁의 시작,"4,499,776"
143,강철비,"4,452,900"
144,아이언맨 2,"4,425,235"
