날짜,신규확진자수
2022-07-10,12693.0
2022-07-11,37323.0
2022-07-12,40248.0
2022-07-13,39169.0
2022-07-14,38864.0
2022-07-15,41273.0
2022-07-16,40342.0
2022-07-17,26299.0
2022-07-18,73537.0
2022-07-19,76378.0
2022-07-20,71109.0
2022-07-21,68579.0
2022-07-22,68521.0
2022-07-23,65433.0
2022-07-24,35883.0
2022-07-25,99268.0
2022-07-26,100182.0
2022-07-27,88296.0
2022-07-28,85275.0
2022-07-29,81944.0
2022-07-30,73589.0
2022-07-31,44689.0
2022-08-01,111700.0
2022-08-02,119866.0
2022-08-03,107849.0
2022-08-04,112857.0
2022-08-05,110610.0
2022-08-06,105507.0
2022-08-07,55292.0
2022-08-08,149819.0
2022-08-09,151734.0
2022-08-10,137196.0
2022-08-11,128671.0
2022-08-12,124515.0
2022-08-13,119603.0
2022-08-14,62078.0
2022-08-15,84128.0
2022-08-16,180652.0
2022-08-17,178480.0
2022-08-18,138741.0
2022-08-19,129350.0
2022-08-20,110944.0
2022-08-21,59046.0
2022-08-22,150098.0
2022-08-23,139165.0
2022-08-24,113281.0
2022-08-25,101064.0
2022-08-26,95538.0
2022-08-27,85295.0
2022-08-28,43142.0
2022-08-29,115519.0
2022-08-30,103919.0
2022-08-31,81499.0
2022-09-01,89528.0
2022-09-02,79623.0
2022-09-03,72144.0
2022-09-04,37548.0
2022-09-05,99737.0
2022-09-06,85484.0
2022-09-07,72599.0
2022-09-08,69389.0
2022-09-09,42724.0
2022-09-10,28214.0
2022-09-11,36938.0
2022-09-12,57309.0
2022-09-13,0.0
2022-09-14,165336.0
2022-09-15,51832.0
2022-09-16,43400.0
2022-09-17,34764.0
2022-09-18,19407.0
2022-09-19,47864.0
2022-09-20,41231.0
2022-09-21,32972.0
2022-09-22,29081.0
2022-09-23,29315.0
2022-09-24,25792.0
2022-09-25,14168.0
2022-09-26,39367.0
2022-09-27,36126.0
2022-09-28,30846.0
2022-09-29,28466.0
2022-09-30,26913.0
2022-10-01,23597.0
2022-10-02,12150.0
2022-10-03,16423.0
2022-10-04,34710.0
2022-10-05,28603.0
2022-10-06,22259.0
2022-10-07,19379.0
2022-10-08,17654.0
2022-10-09,8981.0
2022-10-10,15476.0
2022-10-11,30503.0
2022-10-12,26928.0
2022-10-13,23562.0
2022-10-14,22757.0
2022-10-15,21469.0
2022-10-16,11040.0
2022-10-17,33190.0
2022-10-18,29482.0
2022-10-19,25369.0
2022-10-20,24709.0
2022-10-21,26823.0
2022-10-22,26256.0
2022-10-23,14302.0
2022-10-24,43714.0
2022-10-25,40805.0
2022-10-26,34950.0
2022-10-27,35887.0
2022-10-28,37296.0
2022-10-29,34511.0
2022-10-30,18510.0
2022-10-31,58358.0
2022-11-01,54740.0
2022-11-02,46870.0
2022-11-03,43424.0
2022-11-04,40863.0
2022-11-05,36675.0
2022-11-06,18671.0
2022-11-07,62273.0
2022-11-08,62472.0
2022-11-09,55365.0
2022-11-10,54519.0
2022-11-11,54225.0
2022-11-12,48465.0
2022-11-13,23765.0
2022-11-14,72883.0
2022-11-15,66587.0
2022-11-16,55437.0
2022-11-17,49418.0
2022-11-18,50435.0
2022-11-19,46011.0
2022-11-20,23091.0
2022-11-21,72873.0
2022-11-22,70324.0
2022-11-23,59089.0
2022-11-24,53698.0
2022-11-25,52648.0
2022-11-26,47028.0
2022-11-27,22327.0
2022-11-28,71476.0
2022-11-29,67415.0
2022-11-30,57079.0
2022-12-01,52987.0
2022-12-02,52726.0
2022-12-03,46564.0
2022-12-04,23160.0
2022-12-05,77604.0
2022-12-06,74714.0
2022-12-07,65253.0
2022-12-08,62734.0
2022-12-09,62608.0
2022-12-10,54319.0
2022-12-11,25667.0
2022-12-12,86852.0
2022-12-13,84571.0
2022-12-14,70154.0
2022-12-15,66953.0
2022-12-16,66752.0
2022-12-17,58862.0
2022-12-18,26622.0
2022-12-19,87559.0
2022-12-20,88172.0
2022-12-21,75744.0
2022-12-22,68168.0
2022-12-23,66049.0
2022-12-24,58448.0
2022-12-25,25545.0
2022-12-26,87596.0
2022-12-27,87517.0
2022-12-28,71427.0
2022-12-29,65207.0
2022-12-30,62926.0
2022-12-31,57527.0
2023-01-01,22735.0
2023-01-02,81056.0
2023-01-03,78575.0
2023-01-04,64106.0
