county_FIPS,state,county,per_capita_personal_income_2019,per_capita_personal_income_2020,per_capita_personal_income_2021,associate_degree_numbers_2016_2020,bachelor_degree_numbers_2016_2020,associate_degree_percentage_2016_2020,bachelor_degree_percentage_2015_2019
51013,VA,"Arlington, VA",97629,100687,107603,19573,132394,11.21,75.84
35028,NM,"Los Alamos, NM",72366,75949,81306,2766,9098,20.54,67.56
08013,CO,"Boulder, CO",79698,83173,89593,45834,135876,21.24,62.97
24027,MD,"Howard, MD",78013,82041,86380,42538,136792,19.49,62.67
36061,NY,"New York, NY",173525,175327,195543,167960,777483,13.43,62.18
51107,VA,"Loudoun, VA",82681,85568,90254,52006,160853,19.92,61.62
08097,CO,"Pitkin, CO",183241,187595,198939,2932,8459,21.2,61.17
37135,NC,"Orange, NC",66970,69593,74994,17907,55545,19.62,60.85
47187,TN,"Williamson, TN",95806,99408,107698,32995,91780,21.74,60.46
06041,CA,"Marin, CA",139891,148419,164118,44228,114604,23.22,60.16
18057,IN,"Hamilton, IN",78231,81233,85814,49452,128224,22.9,59.37
24031,MD,"Montgomery, MD",86039,87507,92740,135305,427967,18.73,59.25
06075,CA,"San Francisco, CA",130464,141134,160749,126806,409341,18.2,58.76
08035,CO,"Douglas, CO",77986,81637,87841,61914,134307,27.02,58.61
08051,CO,"Gunnison, CO",51935,56168,59514,2434,6228,22.47,57.51
25017,MA,"Middlesex, MA",87174,92013,98523,204256,644709,18.08,57.06
26161,MI,"Washtenaw, MI",61447,64636,68688,56190,131273,24.28,56.72
08113,CO,"San Miguel, CO",95927,101654,109613,1288,3475,20.98,56.61
49043,UT,"Summit, UT",164980,174010,183972,6446,15670,23.08,56.12
20091,KS,"Johnson, KS",78728,81020,84535,105469,227214,26.05,56.12
08014,CO,"Broomfield, CO",67287,66999,73678,13009,27160,26.85,56.06
34035,NJ,"Somerset, NJ",107923,106558,113975,44252,128232,19.18,55.57
39041,OH,"Delaware, OH",76803,80000,83603,32036,74919,23.74,55.53
56001,WY,"Albany, WY",42955,46056,48528,5899,11983,27.21,55.27
34027,NJ,"Morris, NJ",97774,100617,107767,69357,191526,20.01,55.26
56039,WY,"Teton, WY",278682,290674,318297,4270,9789,24.01,55.05
13117,GA,"Forsyth, GA",66644,68985,73337,35775,84463,23.23,54.84
25021,MA,"Norfolk, MA",93360,97787,104059,102950,270144,20.79,54.56
13121,GA,"Fulton, GA",95148,95825,102074,152216,390293,21.26,54.51
19103,IA,"Johnson, IA",54734,57009,59592,22885,48494,25.63,54.31
42029,PA,"Chester, PA",87486,91122,95483,69867,193139,19.61,54.21
08079,CO,"Mineral, CO",66224,67967,70250,189,379,27,54.14
34019,NJ,"Hunterdon, NJ",90649,93279,100288,18811,48426,20.98,54.01
37183,NC,"Wake, NC",62535,66147,71205,180759,395000,24.71,53.99
08117,CO,"Summit, CO",76517,81157,86390,5832,12656,24.69,53.58
06085,CA,"Santa Clara, CA",113693,122785,138724,285038,716934,21.26,53.47
53033,WA,"King, WA",95083,99734,108212,401275,851818,25.16,53.41
41003,OR,"Benton, OR",47290,50628,54174,16382,29928,29.16,53.27
48085,TX,"Collin, TX",70813,72218,77006,173514,352516,26.2,53.23
36109,NY,"Tompkins, NY",45232,48541,51377,13743,31848,22.9,53.08
50007,VT,"Chittenden, VT",61686,65123,67921,25646,56967,23.69,52.61
55025,WI,"Dane, WI",63668,66677,71062,94971,187927,26.49,52.42
06081,CA,"San Mateo, CA",131180,142264,160485,129775,287882,23.47,52.07
19169,IA,"Story, IA",43682,45618,47923,14331,26789,27.79,51.95
53055,WA,"San Juan, WA",81070,84496,87038,4028,7178,28.99,51.66
30031,MT,"Gallatin, MT",60242,65225,70276,19771,36859,27.66,51.57
48453,TX,"Travis, TX",73299,73982,81708,199133,446246,23,51.53
20045,KS,"Douglas, KS",46612,49290,51703,18119,36324,25.56,51.24
27053,MN,"Hennepin, MN",76905,80429,85505,233516,445598,26.74,51.03
08019,CO,"Clear Creek, CO",66439,70828,77242,1960,3788,26.31,50.85
18011,IN,"Boone, IN",77754,80234,84985,11142,22516,25.15,50.83
34003,NJ,"Bergen, NJ",87903,90759,97343,133106,333509,20.22,50.67
13219,GA,"Oconee, GA",70400,72145,76403,6357,12999,24.72,50.56
08037,CO,"Eagle, CO",84648,91432,97255,10137,19603,26.11,50.49
19049,IA,"Dallas, IA",67860,70341,73673,15812,29862,26.72,50.46
08031,CO,"Denver, CO",86539,89736,99133,112542,261452,21.66,50.32
17043,IL,"DuPage, IL",76075,79901,85498,157719,320052,24.79,50.3
28089,MS,"Madison, MS",65464,69925,73485,17582,34977,25.13,50
36119,NY,"Westchester, NY",107755,112096,119705,133318,333530,19.88,49.73
44005,RI,"Newport, RI",73416,78693,84054,15155,30408,24.78,49.72
55089,WI,"Ozaukee, WI",85018,87897,92719,16380,30900,26.31,49.64
42091,PA,"Montgomery, PA",79267,84342,88671,125023,289228,21.46,49.64
37063,NC,"Durham, NC",52438,55464,60330,49198,108453,22.44,49.46
08107,CO,"Routt, CO",88318,94626,98371,5414,9297,28.73,49.33
44001,RI,"Bristol, RI",78427,82053,87810,7373,16901,21.45,49.18
27019,MN,"Carver, MN",73785,76137,80562,20267,33289,29.9,49.11
08091,CO,"Ouray, CO",67967,72871,76727,1434,1959,35.92,49.07
25015,MA,"Hampshire, MA",54754,58133,60717,23551,48952,23.53,48.92
09001,CT,"Fairfield, CT",116996,119366,127391,132517,316013,20.51,48.91
46027,SD,"Clay, SD",39918,42439,47288,1628,3466,22.97,48.91
06001,CA,"Alameda, CA",80623,88841,99746,273930,575727,23.16,48.67
13067,GA,"Cobb, GA",60261,63105,67616,131540,247382,25.76,48.44
53075,WA,"Whitman, WA",40744,44226,46502,7854,12022,31.5,48.22
23005,ME,"Cumberland, ME",64975,69624,73972,54839,102916,25.6,48.05
26125,MI,"Oakland, MI",72614,77030,80962,249498,427086,28.02,47.96
29019,MO,"Boone, MO",49251,51723,54522,28708,51964,26.36,47.71
25025,MA,"Suffolk, MA",83428,90941,98644,101261,266193,18.14,47.69
08069,CO,"Larimer, CO",56851,60219,64258,69378,110756,29.87,47.69
25019,MA,"Nantucket, MA",96986,93793,101902,2687,4212,30.3,47.5
34025,NJ,"Monmouth, NJ",82513,86029,92119,103525,206917,23.68,47.34
20161,KS,"Riley, KS",43570,46108,47764,12244,17762,32.55,47.22
28071,MS,"Lafayette, MS",43373,45615,47824,8058,14616,25.95,47.06
13113,GA,"Fayette, GA",65794,68463,73202,21413,36287,27.59,46.76
36059,NY,"Nassau, NY",89713,93715,99597,215448,441749,22.8,46.74
26089,MI,"Leelanau, MI",70525,75114,78457,4808,7858,28.57,46.69
27109,MN,"Olmsted, MN",58724,62179,65959,30234,49413,28.57,46.69
12073,FL,"Leon, FL",46842,49821,54277,48404,81389,27.71,46.6
41051,OR,"Multnomah, OR",59993,64858,70331,168200,276755,28.27,46.52
48157,TX,"Fort Bend, TX",63261,63012,65797,134487,236304,26.45,46.47
08059,CO,"Jefferson, CO",66571,69118,74822,119643,195248,28.46,46.44
17097,IL,"Lake, IL",79993,83141,89025,113049,211275,24.64,46.05
44009,RI,"Washington, RI",68280,72917,77855,23176,40000,26.64,45.98
37119,NC,"Mecklenburg, NC",63805,66863,71836,207420,338590,28.08,45.83
