연도,대한민국,일본,미국
1960.0,25012374.0,93216000.0,180671000.0
1961.0,25765673.0,94055000.0,183691000.0
1962.0,26513030.0,94933000.0,186538000.0
1963.0,27261747.0,95900000.0,189242000.0
1964.0,27984155.0,96903000.0,191889000.0
1965.0,28704674.0,97952000.0,194303000.0
1966.0,29435571.0,98851000.0,196560000.0
1967.0,30130983.0,99879000.0,198712000.0
1968.0,30838302.0,101011000.0,200706000.0
1969.0,31544266.0,102219000.0,202677000.0
1970.0,32240827.0,103403000.0,205052000.0
1971.0,32882704.0,105697000.0,207661000.0
1972.0,33505406.0,107188000.0,209896000.0
1973.0,34103149.0,108707000.0,211909000.0
1974.0,34692266.0,110162000.0,213854000.0
1975.0,35280725.0,111573000.0,215973000.0
1976.0,35848523.0,112775000.0,218035000.0
1977.0,36411795.0,113872000.0,220239000.0
1978.0,36969185.0,114913000.0,222585000.0
1979.0,37534236.0,115890000.0,225055000.0
1980.0,38123775.0,116807000.0,227225000.0
1981.0,38723248.0,117661000.0,229466000.0
1982.0,39326352.0,118480000.0,231664000.0
1983.0,39910403.0,119307000.0,233792000.0
1984.0,40405956.0,120083000.0,235825000.0
1985.0,40805744.0,120837000.0,237924000.0
1986.0,41213674.0,121482000.0,240133000.0
1987.0,41621690.0,122069000.0,242289000.0
1988.0,42031247.0,122578000.0,244499000.0
1989.0,42449038.0,123069000.0,246819000.0
1990.0,42869283.0,123478000.0,249623000.0
1991.0,43295704.0,123964000.0,252981000.0
1992.0,43747962.0,124425000.0,256514000.0
1993.0,44194628.0,124829000.0,259919000.0
1994.0,44641540.0,125178000.0,263126000.0
1995.0,45092991.0,125472000.0,266278000.0
1996.0,45524681.0,125757000.0,269394000.0
1997.0,45953580.0,126057000.0,272657000.0
1998.0,46286503.0,126400000.0,275854000.0
1999.0,46616677.0,126631000.0,279040000.0
2000.0,47008111.0,126843000.0,282162411.0
2001.0,47370164.0,127149000.0,284968955.0
2002.0,47644736.0,127445000.0,287625193.0
2003.0,47892330.0,127718000.0,290107933.0
2004.0,48082519.0,127761000.0,292805298.0
2005.0,48184561.0,127773000.0,295516599.0
2006.0,48438292.0,127854000.0,298379912.0
2007.0,48683638.0,128001000.0,301231207.0
2008.0,49054708.0,128063000.0,304093966.0
2009.0,49307835.0,128047000.0,306771529.0
2010.0,49554112.0,128070000.0,309327143.0
2011.0,49936638.0,127833000.0,311583481.0
2012.0,50199853.0,127629000.0,313877662.0
2013.0,50428893.0,127445000.0,316059947.0
2014.0,50746659.0,127276000.0,318386329.0
2015.0,51014947.0,127141000.0,320738994.0
2016.0,51217803.0,127076000.0,323071755.0
2017.0,51361911.0,126972000.0,325122128.0
2018.0,51585058.0,126811000.0,326838199.0
2019.0,51764822.0,126633000.0,328329953.0
2020.0,51836239.0,126261000.0,331501080.0
2021.0,51744876.0,125681593.0,331893745.0
