기준연월,국제수지금액,인원수,1인당 관광수입
201905,1850.7,1485684,1245.7
201906,1519.3,1476218,1029.2
201907,1695.7,1448067,1171
201908,1767.6,1586299,1114.3
201909,1624.7,1459664,1113.1
201910,1745.3,1656195,1053.8
201911,1733.6,1456429,1190.3
201912,1835.8,1456888,1260.1
202001,1642.8,1272708,1290.8
202002,1442,685212,2104.5
202003,816.9,83497,9783.6
202004,536.3,29415,18232.2
202005,583.5,30806,18941.1
202006,594.8,36938,16102.7
202007,732.6,61012,12007.5
202008,783.3,68797,11385.7
202009,788.8,65040,12127.9
202010,752.2,61585,12214
202011,762.8,61764,12350.2
202012,745.1,62344,11951.4
202101,847.1,58397,14505.9
202102,683.8,65582,10426.6
202103,833.4,74604,11171
202104,886.8,70112,12648.3
202105,919.4,74463,12347.1
202106,776.6,77029,10081.9
202107,793.7,83005,9562.1
202108,902.6,97087,9296.8
202109,935.2,89800,10414.3
202110,875.8,92416,9476.7
202111,992.1,94358,10514.2
202112,835.6,90150,9269
202201,748.1,81851,9139.8
202202,785.9,99999,7859.1
202203,974.3,96768,10068.4
202204,864.3,127919,6756.6
202205,956.4,175922,5436.5
202206,978.8,227713,4298.4
202207,840.8,263986,3185
202208,1093.4,310945,3516.4
202209,1161.2,337638,3439.2
202210,1298.2,476097,2726.8
