,기준연월,관광수입,1인당 관광수입,방한 외래관광객,환율,국제유가,연도,월
0,202101,847.1,14505.9,58397.0,1114.6,54.82,2021,1
1,202102,683.8,10426.6,65582.0,1108.4,60.89,2021,2
2,202103,833.4,11171.0,74604.0,1133.5,64.44,2021,3
3,202104,886.8,12648.3,70112.0,1107.4,62.92,2021,4
4,202105,919.4,12347.1,74463.0,1116.0,66.34,2021,5
5,202106,776.6,10081.9,77029.0,1130.0,71.6,2021,6
6,202107,793.7,9562.1,83005.0,1147.4,72.93,2021,7
7,202108,902.6,9296.8,97087.0,1164.4,69.5,2021,8
8,202109,935.2,10414.3,89800.0,1184.9,72.63,2021,9
9,202110,875.8,9476.7,92416.0,1171.7,81.61,2021,10
10,202111,992.1,10514.2,94358.0,1193.4,80.3,2021,11
11,202112,835.6,9269.0,90150.0,1185.5,73.21,2021,12
12,202201,748.1,9139.8,81851.0,1202.4,83.47,2022,1
13,202202,785.9,7859.1,99999.0,1202.7,92.36,2022,2
14,202203,974.3,10068.4,96768.0,1210.8,110.93,2022,3
15,202204,864.3,6756.6,127919.0,1269.4,102.82,2022,4
16,202205,956.4,5436.5,175922.0,1245.8,108.16,2022,5
17,202206,978.8,4298.4,227713.0,1292.9,113.27,2022,6
18,202207,840.8,3185.0,263986.0,1304.0,103.14,2022,7
19,202208,1093.4,3516.4,310945.0,1347.5,96.63,2022,8
20,202209,1161.2,3439.2,337638.0,1434.8,90.95,2022,9
21,202210,1298.2,2726.8,476097.0,1419.3,91.16,2022,10
