시군구,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도
서울특별시 강남구 개포동,개포래미안포레스트,84.83,202211,25,"240,000",33,2020
서울특별시 강남구 개포동,개포래미안포레스트,84.86,202211,29,"240,000",5,2020
서울특별시 강남구 개포동,디에이치아너힐즈,84.3558,202211,26,"250,000",19,2019
서울특별시 강남구 개포동,삼익대청아파트,60,202211,14,"134,000",7,1992
서울특별시 강남구 개포동,성원대치2단지아파트,39.53,202211,15,"102,500",3,1992
서울특별시 강남구 개포동,성원대치2단지아파트,33.18,202211,16,"84,700",13,1992
서울특별시 강남구 논현동,로체샤르캐슬,106.59,202211,10,"139,000",4,2009
서울특별시 강남구 논현동,쌍용,84.87,202211,12,"105,000",3,1996
서울특별시 강남구 논현동,한양수자인어반게이트,20.23,202211,2,"28,000",7,2013
서울특별시 강남구 대치동,"대치우성아파트1동,2동,3동,5동,6동,7동",115.59,202211,22,"260,000",4,1984
서울특별시 강남구 대치동,래미안대치팰리스,94.49,202211,16,"348,000",15,2015
서울특별시 강남구 대치동,래미안대치팰리스,91.93,202211,17,"291,000",20,2015
서울특별시 강남구 대치동,선경1차(1동-7동),136.68,202211,11,"385,000",11,1983
서울특별시 강남구 대치동,선경3차,76.6,202211,3,"210,000",7,1990
서울특별시 강남구 대치동,은마,84.43,202211,1,"235,000",10,1979
서울특별시 강남구 대치동,은마,76.79,202211,5,"191,500",10,1979
서울특별시 강남구 대치동,은마,76.79,202211,8,"177,000",1,1979
서울특별시 강남구 대치동,은마,84.43,202211,16,"220,000",4,1979
서울특별시 강남구 대치동,은마,84.43,202211,21,"215,000",5,1979
서울특별시 강남구 대치동,은마,84.43,202211,22,"226,000",12,1979
서울특별시 강남구 도곡동,대명비발디,82.67,202211,7,"99,500",3,2003
서울특별시 강남구 도곡동,삼성,73.41,202211,9,"144,000",11,1994
서울특별시 강남구 도곡동,삼성래미안,59.96,202211,29,"165,000",1,2001
서울특별시 강남구 도곡동,타워팰리스1,137.24,202211,30,"345,000",28,2002
서울특별시 강남구 수서동,신동아,33.18,202211,12,"80,000",10,1992
서울특별시 강남구 압구정동,신현대11차,183.41,202211,25,"560,000",9,1983
서울특별시 강남구 압구정동,한양5,100.5,202211,30,"268,000",10,1979
서울특별시 강남구 역삼동,리츠빌,93.22,202211,16,"85,000",4,2003
서울특별시 강남구 일원동,상록수,74.54,202211,9,"160,000",1,1993
서울특별시 강남구 일원동,수서,49.68,202211,3,"100,000",10,1992
서울특별시 강남구 일원동,푸른마을아파트101동~111동,84.93,202211,2,"154,000",2,1994
서울특별시 강남구 자곡동,래미안강남힐즈,101.95,202211,6,"184,000",12,2014
서울특별시 강남구 자곡동,래미안강남힐즈,91.96,202211,12,"189,000",3,2014
서울특별시 강남구 자곡동,래미안강남힐즈,91.96,202211,15,"176,000",11,2014
서울특별시 강남구 청담동,청담CJ빌리지,159.94,202211,16,"245,000",4,2004
서울특별시 강동구 고덕동,고덕 아이파크,59.99,202211,22,"100,000",4,2011
서울특별시 강동구 고덕동,고덕그라시움,84.244,202211,6,"139,000",5,2019
서울특별시 강동구 고덕동,고덕그라시움,73.873,202211,7,"90,000",23,2019
서울특별시 강동구 고덕동,고덕그라시움,59.785,202211,12,"104,500",20,2019
서울특별시 강동구 고덕동,고덕그라시움,59.785,202211,12,"107,000",3,2019
서울특별시 강동구 고덕동,고덕그라시움,84.046,202211,20,"140,000",22,2019
서울특별시 강동구 고덕동,고덕그라시움,59.052,202211,20,"112,000",15,2019
서울특별시 강동구 고덕동,고덕그라시움,59.785,202211,22,"102,000",7,2019
서울특별시 강동구 고덕동,고덕센트럴푸르지오,59.09,202211,20,"82,000",17,2020
서울특별시 강동구 고덕동,래미안힐스테이트고덕,84.88,202211,5,"122,600",13,2016
서울특별시 강동구 길동,길동우성,84.75,202211,1,"87,000",15,1994
서울특별시 강동구 길동,다성이즈빌,84.76,202211,1,"65,000",1,2003
서울특별시 강동구 둔촌동,둔촌푸르지오,59.98,202211,16,"85,000",16,2010
서울특별시 강동구 둔촌동,둔촌푸르지오,84.9,202211,27,"110,000",13,2010
서울특별시 강동구 상일동,고덕롯데캐슬베네루체,84.146,202211,8,"108,500",28,2019
서울특별시 강동구 상일동,고덕롯데캐슬베네루체,84.923,202211,10,"100,000",1,2019
서울특별시 강동구 상일동,고덕롯데캐슬베네루체,84.923,202211,11,"110,000",19,2019
서울특별시 강동구 상일동,고덕롯데캐슬베네루체,59.981,202211,19,"92,500",4,2019
서울특별시 강동구 상일동,고덕롯데캐슬베네루체,84.923,202211,24,"109,500",10,2019
서울특별시 강동구 상일동,고덕아르테온,84.97,202211,2,"130,000",10,2020
서울특별시 강동구 상일동,고덕아르테온,59.98,202211,4,"107,000",18,2020
서울특별시 강동구 상일동,고덕아르테온,84.93,202211,13,"129,000",7,2020
서울특별시 강동구 상일동,고덕아르테온,59.98,202211,16,"93,000",2,2020
서울특별시 강동구 상일동,고덕아르테온,59.96,202211,18,"104,000",12,2020
서울특별시 강동구 상일동,고덕아르테온,84.94,202211,18,"131,500",16,2020
서울특별시 강동구 상일동,고덕아르테온,84.93,202211,29,"130,000",25,2020
서울특별시 강동구 상일동,고덕아르테온,84.93,202211,29,"129,300",8,2020
서울특별시 강동구 상일동,고덕자이,84.445,202211,19,"120,500",5,2021
서울특별시 강동구 상일동,고덕자이,84.9712,202211,30,"121,000",23,2021
서울특별시 강동구 상일동,동아,59.25,202211,1,"64,500",17,1997
서울특별시 강동구 성내동,성내동삼성아파트,59.88,202211,15,"85,000",11,1999
서울특별시 강동구 성내동,한양립스,12.33,202211,7,"13,000",7,2014
서울특별시 강동구 암사동,롯데캐슬퍼스트,84.98,202211,23,"100,000",18,2008
서울특별시 강동구 암사동,선사현대아파트,59.64,202211,10,"58,000",5,2000
서울특별시 강동구 암사동,선사현대아파트,59.64,202211,19,"73,000",7,2000
서울특별시 강동구 암사동,선사현대아파트,58.68,202211,19,"57,000",15,2000
서울특별시 강동구 암사동,선사현대아파트,59.64,202211,24,"69,000",6,2000
서울특별시 강동구 암사동,선사현대아파트,59.64,202211,29,"77,000",7,2000
서울특별시 강동구 천호동,현진리버파크,23.26,202211,10,"29,500",4,2017
서울특별시 강북구 미아동,꿈의숲롯데캐슬,84.98,202211,12,"80,000",9,2017
서울특별시 강북구 미아동,벽산라이브파크,114.68,202211,21,"81,000",4,2004
서울특별시 강북구 미아동,에스케이북한산시티,59.98,202211,7,"56,000",24,2004
서울특별시 강북구 미아동,에스케이북한산시티,84.76,202211,12,"69,750",12,2004
서울특별시 강북구 미아동,에스케이북한산시티,59.98,202211,21,"56,000",12,2004
서울특별시 강북구 번동,주공4단지,84.79,202211,24,"60,000",1,1991
서울특별시 강북구 수유동,수유벽산1차,122.58,202211,8,"82,200",14,1993
서울특별시 강북구 수유동,태솔에버빌,60.7,202211,4,"25,000",1,2008
서울특별시 강서구 가양동,가양2단지(성지),49.56,202211,16,"57,890",15,1992
서울특별시 강서구 가양동,동신대아,134.88,202211,1,"138,000",11,1993
서울특별시 강서구 내발산동,마곡수명산파크4단지,84.53,202211,21,"81,000",4,2008
서울특별시 강서구 내발산동,마곡수명산파크4단지,84.96,202211,24,"84,500",10,2008
서울특별시 강서구 내발산동,마곡수명산파크5단지,59.76,202211,1,"70,000",4,2008
서울특별시 강서구 내발산동,마곡수명산파크5단지,59.87,202211,18,"69,500",8,2008
서울특별시 강서구 내발산동,우장산힐스테이트,59.98,202211,9,"86,000",3,2005
서울특별시 강서구 내발산동,우장산힐스테이트,126.65,202211,18,"115,000",16,2005
서울특별시 강서구 등촌동,가양역두산위브,59.98,202211,4,"89,700",19,2022
서울특별시 강서구 등촌동,등촌동아이파크,84.7556,202211,13,"82,000",14,2004
서울특별시 강서구 등촌동,등촌동아이파크,84.9958,202211,28,"70,000",4,2004
서울특별시 강서구 등촌동,등촌동아이파크,84.7556,202211,29,"65,000",16,2004
서울특별시 강서구 등촌동,우성,66.9,202211,5,"63,000",12,1992
서울특별시 강서구 등촌동,주공3,58.14,202211,8,"59,700",10,1995
서울특별시 강서구 등촌동,코오롱오투빌2,59.95,202211,23,"67,000",5,2002
서울특별시 강서구 방화동,동성,84.95,202211,12,"86,500",3,1993
서울특별시 강서구 방화동,마곡푸르지오,59.87,202211,15,"78,000",10,2008
서울특별시 강서구 방화동,방화동동부센트레빌(875번지),84.97,202211,22,"75,000",9,2003
서울특별시 강서구 방화동,신라힐,57.36,202211,22,"22,700",8,2001
서울특별시 강서구 방화동,신세계아파트,64.46,202211,14,"49,000",4,2018
서울특별시 강서구 염창동,e편한세상염창,84.9529,202211,1,"135,000",3,2019
서울특별시 강서구 염창동,대림,84.87,202211,7,"105,000",7,1999
서울특별시 강서구 염창동,동아,84.95,202211,2,"95,000",7,1998
서울특별시 강서구 염창동,동아,114.84,202211,8,"91,000",8,1998
서울특별시 강서구 화곡동,강동,58.86,202211,14,"23,000",2,2002
서울특별시 강서구 화곡동,강서힐스테이트,84.99,202211,1,"118,000",17,2015
서울특별시 강서구 화곡동,대림e편한세상,84.84,202211,14,"69,500",14,1992
서울특별시 강서구 화곡동,로즈힐(1101-3),59.99,202211,8,"18,000",1,2002
서울특별시 강서구 화곡동,삼성다빈치(917-14),14.35,202211,12,"11,000",11,2015
서울특별시 강서구 화곡동,삼성다빈치(917-14),14.35,202211,12,"10,000",7,2015
서울특별시 강서구 화곡동,세림,21.64,202211,1,"19,500",9,2015
서울특별시 강서구 화곡동,신보,59.63,202211,18,"23,500",2,2001
서울특별시 강서구 화곡동,에스타워,29.86,202211,24,"21,500",7,2017
서울특별시 강서구 화곡동,예지보금자리,78.82,202211,21,"34,000",3,2007
서울특별시 강서구 화곡동,우공아파트,26.36,202211,11,"24,000",4,2018
서울특별시 강서구 화곡동,우장산롯데캐슬,117.19,202211,10,"130,000",4,2003
서울특별시 강서구 화곡동,한양아이클래스,13.79,202211,12,"8,700",7,2013
서울특별시 강서구 화곡동,한양아이클래스,13.79,202211,18,"9,200",11,2013
서울특별시 강서구 화곡동,화곡푸르지오,192.22,202211,23,"200,000",8,2002
서울특별시 강서구 화곡동,화곡푸르지오,144.123,202211,30,"112,000",12,2002
서울특별시 관악구 남현동,흥화브라운빌,59.88,202211,15,"67,000",12,2003
서울특별시 관악구 봉천동,e편한세상서울대입구1단지,59.9,202211,10,"90,000",12,2019
서울특별시 관악구 봉천동,관악캠퍼스타워,25.86,202211,15,"14,500",14,1998
서울특별시 관악구 봉천동,관악푸르지오,59.58,202211,10,"81,000",22,2004
서울특별시 관악구 봉천동,미래,66.595,202211,11,"38,500",2,2005
서울특별시 관악구 봉천동,서울대입구아이원(1560-61),84.89,202211,24,"66,000",5,2006
서울특별시 관악구 봉천동,에메랄드104동,83.44,202211,7,"47,000",5,2012
서울특별시 관악구 봉천동,코스모블루,13.09,202211,4,"15,000",9,2012
서울특별시 관악구 봉천동,코스모블루,13.09,202211,20,"12,000",5,2012
서울특별시 관악구 신림동,GS파크뷰,46.1,202211,3,"43,000",5,2013
서울특별시 관악구 신림동,LIG대학마을(건영아파트3차),84.82,202211,11,"83,500",13,1996
서울특별시 관악구 신림동,벽산블루밍,84.95,202211,3,"80,000",10,2005
서울특별시 관악구 신림동,신동아,84.3,202211,3,"53,000",3,1994
서울특별시 관악구 신림동,프라비다트라움,14.05,202211,26,"13,600",11,2013
서울특별시 광진구 광장동,유진스웰,165.327,202211,30,"185,000",3,2011
서울특별시 광진구 구의동,구의현대2단지,84.91,202211,18,"100,000",5,1996
서울특별시 광진구 자양동,우성2,51.57,202211,28,"85,000",12,1989
서울특별시 광진구 자양동,자양호반써밋,40.2673,202211,27,"80,000",10,2021
서울특별시 광진구 자양동,한강극동,84.45,202211,16,"105,000",11,1991
서울특별시 광진구 화양동,씨즈건대힐스,14.23,202211,4,"17,000",4,2017
서울특별시 광진구 화양동,씨즈건대힐스,14.23,202211,25,"15,000",7,2017
서울특별시 구로구 개봉동,현대,114.99,202211,1,"85,000",8,2001
서울특별시 구로구 개봉동,현대,59.94,202211,9,"61,800",4,2001
서울특별시 구로구 개봉동,현대홈타운,59.49,202211,10,"54,000",3,2001
서울특별시 구로구 개봉동,현대홈타운,59.49,202211,21,"52,500",21,2001
서울특별시 구로구 고척동,고척파크푸르지오,84.94,202211,29,"72,000",1,2009
서울특별시 구로구 고척동,삼환로즈빌,84.994,202211,15,"70,000",18,2004
서울특별시 구로구 고척동,"우성,현대아파트",68.7,202211,29,"58,500",10,1987
서울특별시 구로구 구로동,(751-5),53.45,202211,8,"28,000",5,1996
서울특별시 구로구 구로동,(794-17),38.96,202211,8,"23,800",2,1997
서울특별시 구로구 구로동,구로두산,44.64,202211,1,"43,800",19,1998
서울특별시 구로구 구로동,구로두산,44.64,202211,9,"39,500",6,1998
서울특별시 구로구 구로동,구로두산,44.64,202211,23,"41,100",8,1998
서울특별시 구로구 구로동,구로두산,44.64,202211,26,"40,000",6,1998
서울특별시 구로구 구로동,구로오네뜨시티,16.71,202211,3,"18,400",15,2022
서울특별시 구로구 구로동,금호,84.86,202211,29,"54,000",10,1997
서울특별시 구로구 구로동,덕영드림,70.23,202211,9,"57,200",7,2006
서울특별시 구로구 구로동,로제리움2차,14.91,202211,14,"11,500",17,2014
서울특별시 구로구 구로동,로제리움2차,14.04,202211,21,"11,300",18,2014
