"		지점번호",지점명,일시,평균기온(℃),최고기온(℃),"	최고기온시각",최저기온(℃),최저기온시각일교차,
"		108",서울,2020-08-01,25.3,26.9,11:13,24.3,5:46,2.6
"		108",서울,2020-08-02,24.9,26.4,15:01,23.5,18:55,2.9
"		108",서울,2020-08-03,25,26.3,1:42,23.9,20:02,2.4
"		108",서울,2020-08-04,27,29.4,15:20,25,0:01,4.4
"		108",서울,2020-08-05,26.5,29.1,16:30,25.5,23:46,3.6
"		108",서울,2020-08-06,24.1,26,16:44,22.9,23:57,3.1
"		108",서울,2020-08-07,24.3,26.1,15:36,22.6,6:28,3.5
"		108",서울,2020-08-08,24.2,26.1,16:28,22.7,4:32,3.4
"		108",서울,2020-08-09,24.9,25.8,23:30,23.7,0:01,2.1
"		108",서울,2020-08-10,26.5,29.5,13:31,24.7,23:57,4.8
"		108",서울,2020-08-11,24.6,27.3,13:33,22.4,5:36,4.9
"		108",서울,2020-08-12,27.2,31.3,14:05,23.5,4:31,7.8
"		108",서울,2020-08-13,28,30.3,15:57,26.3,5:06,4
"		108",서울,2020-08-14,27.1,28,11:47,26.5,8:22,1.5
"		108",서울,2020-08-15,26.1,27,17:45,25,7:29,2
"		108",서울,2020-08-16,27.4,30.8,14:41,25.3,5:33,5.5
"		108",서울,2020-08-17,28.2,32.2,16:02,26.1,4:59,6.1
"		108",서울,2020-08-18,27.5,31.9,15:43,24,6:22,7.9
"		108",서울,2020-08-19,27.1,31.4,15:48,23.6,5:14,7.8
"		108",서울,2020-08-20,27.7,31.7,13:10,25,3:01,6.7
"		108",서울,2020-08-21,26.6,29.2,16:30,25.2,5:43,4
"		108",서울,2020-08-22,24.3,27.6,12:07,21.7,23:42,5.9
"		108",서울,2020-08-23,25.3,29.9,15:55,21.5,0:45,8.4
"		108",서울,2020-08-24,27.8,32,15:21,23.7,5:54,8.3
"		108",서울,2020-08-25,29.9,34.5,14:52,26,6:18,8.5
"		108",서울,2020-08-26,30.2,34.5,15:53,27,5:52,7.5
"		108",서울,2020-08-27,27.1,28.6,16:11,25.6,7:36,3
"		108",서울,2020-08-28,27.3,29.7,12:28,26,5:51,3.7
"		108",서울,2020-08-29,26.8,29,16:12,25.5,5:58,3.5
"		108",서울,2020-08-30,26.8,30.6,14:23,24.4,23:48,6.2
"		108",서울,2020-08-31,26.4,30,16:10,23.8,1:07,6.2
"		",,,,,,,,
"	",,,,,,,,
"	",,,,,,,,
"	",,,,,,,,
"	",,,,,,,,
"		",,,,,,,,
"	",,,,,,,,
"	",,,,,,,,







