도로종류,요일,사고건수,사망자수,중상자수,경상자수,부상신고자수
일반국도,일,2004,83,989,2721,206
일반국도,월,2465,118,1165,2740,233
일반국도,화,2339,106,1065,2570,262
일반국도,수,2344,95,1055,2517,248
일반국도,목,2403,104,1084,2625,225
일반국도,금,2699,92,1210,3015,311
일반국도,토,2705,125,1313,3503,318
지방도,일,2141,71,1001,2516,252
지방도,월,2654,85,1142,2686,245
지방도,화,2619,77,1064,2753,271
지방도,수,2662,72,1178,2576,290
지방도,목,2566,86,1093,2584,291
지방도,금,2832,92,1189,2811,281
지방도,토,2749,79,1295,2998,344
특별광역시도,일,10162,149,3626,11137,1222
특별광역시도,월,12210,123,4099,11884,1355
특별광역시도,화,12631,120,4325,12112,1363
특별광역시도,수,12633,130,4403,11750,1422
특별광역시도,목,12614,143,4378,11997,1304
특별광역시도,금,14080,173,4817,13620,1494
특별광역시도,토,13355,165,4537,14155,1638
시도,일,8070,146,3039,9731,760
시도,월,10095,159,3668,10177,910
시도,화,10115,164,3660,10164,890
시도,수,10664,181,3809,10832,909
시도,목,10296,158,3822,10484,871
시도,금,11498,190,4195,11612,1068
시도,토,10695,188,3873,12113,961
군도,일,826,48,440,889,81
군도,월,1093,47,537,960,76
군도,화,1035,52,461,928,100
군도,수,1004,33,453,885,88
군도,목,1051,47,497,952,74
군도,금,1107,66,528,989,76
군도,토,1078,48,501,1078,86
고속국도,일,589,27,351,1162,165
고속국도,월,589,50,270,892,96
고속국도,화,596,43,356,932,79
고속국도,수,550,34,279,822,100
고속국도,목,518,51,249,762,104
고속국도,금,728,38,354,1117,119
고속국도,토,777,30,440,1483,186
기타,일,1743,26,517,1530,176
기타,월,2221,28,671,1738,229
기타,화,2075,24,644,1607,212
기타,수,2179,34,678,1741,214
기타,목,2215,37,694,1711,271
기타,금,2414,30,783,1902,245
기타,토,2229,25,666,1820,253
