타임스탬프,1. 1회차 클래식 음악을 들을 때 몇 개의 단어를 외우셨나요?,2. 2회차 대중가요를 들을 때 몇 개의 단어를 외우셨나요?,3. 클래식 음악을 들으며 공부할 때의 집중도를 1~10 사이의 숫자로 나타낸다면 얼마인가요?,4. 대중가요를 들으며 공부할 때의 집중도를 1~10 사이의 숫자로 나타낸다면 얼마인가요?,
10-7-2022 14:37:56,14 ,8 ,9,3,
10-7-2022 15:08:03,11 ,23 ,8,6,
10-7-2022 15:11:40,5 ,10 ,6,3,
10-7-2022 15:12:42,13 ,8 ,9,6,
10-7-2022 15:14:32,8 ,3 ,4,3,
10-7-2022 23:26:18,6 ,4 ,8,8,
10-7-2022 23:29:13,9 ,8 ,7,6,
10-7-2022 23:31:01,4 ,3 ,7,4,
10-7-2022 23:31:52,10 ,7 ,7,2,
10-7-2022 23:32:19,9 ,7 ,8,5,
10-7-2022 23:36:12,8 ,8 ,7,4,
10-7-2022 23:38:20,8 ,4 ,6,3,
10-7-2022 23:40:42,14 ,9 ,7,2,
10-7-2022 23:42:26,11 ,7 ,7,4,
10-8-2022 0:10:37,8 ,4 ,9,3,
10-8-2022 0:11:55,9 ,5 ,10,2,
10-8-2022 0:30:26,20 ,18 ,8,6,
10-8-2022 13:17:34,4 ,6 ,7,9,
10-8-2022 13:36:14,13 ,7 ,8,6,
10-8-2022 13:58:57,8 ,4 ,8,5,
10-8-2022 14:32:48,9 ,7 ,9,8,
10-8-2022 23:01:28,12 ,8 ,8,5,
10-9-2022 18:28:30,17 ,12 ,9,6,
10-9-2022 18:31:56,10 ,7 ,6,6,
10-9-2022 18:34:29,11 ,6 ,8,4,
10-9-2022 18:36:08,7 ,9 ,,,
10-9-2022 19:16:16,11 ,7 ,8,3,
10-9-2022 21:16:22,5 ,6 ,5,7,
10-9-2022 21:18:49,8 ,3 ,7,2,
10-9-2022 21:19:03,9 ,4 ,3,2,
10-9-2022 21:32:01,11 ,7 ,5,2,
10-9-2022 21:34:26,15 ,8 ,8,3,
10-9-2022 21:35:36,8 ,8 ,4,2,
10-9-2022 21:43:40,11 ,5 ,9,4,
10-9-2022 21:55:31,8 ,2 ,10,4,
10-9-2022 21:56:50,8 ,5 ,8,6,
10-9-2022 22:55:19,7 ,4 ,,,
10-9-2022 22:55:32,10 ,11 ,,,
10-9-2022 22:55:42,6 ,5 ,,,
10-9-2022 22:55:51,9 ,7 ,,,
10-10-2022 0:02:53,9 ,13 ,4,6,
10-10-2022 3:10:10,4 ,2 ,6,2,
10-10-2022 13:25:35,12 ,8 ,7,6,
10-10-2022 17:35:38,16 ,7 ,8,4,
