N,종목명,현재가,전일비,등락률,액면가,매출액,자산총계,영업이익
1.0,삼성전자,52900.0,1300.0,-2.40%,100.0,2796048.0,4266212.0,516339.0
2.0,LG에너지솔루션,433500.0,10500.0,-2.36%,500.0,178519.0,237641.0,7685.0
3.0,SK하이닉스,81200.0,800.0,-0.98%,5000.0,429978.0,963865.0,124103.0
4.0,삼성바이오로직스,767000.0,13000.0,+1.72%,2500.0,15680.0,79700.0,5373.0
5.0,삼성전자우,47300.0,1200.0,-2.47%,100.0,,,
6.0,삼성SDI,564000.0,23000.0,-3.92%,5000.0,135532.0,258332.0,10676.0
7.0,LG화학,546000.0,23000.0,-4.04%,5000.0,426547.0,511353.0,50255.0
8.0,현대차,179500.0,6500.0,-3.49%,5000.0,1176106.0,2339464.0,66789.0
9.0,NAVER,200500.0,4000.0,-1.96%,100.0,68176.0,336910.0,13255.0
10.0,기아,73900.0,2600.0,-3.40%,5000.0,698624.0,668500.0,50657.0
11.0,카카오,56900.0,2400.0,-4.05%,100.0,61367.0,227796.0,5949.0
12.0,셀트리온,166500.0,1000.0,+0.60%,1000.0,19116.0,56741.0,7569.0
13.0,삼성물산,104000.0,3000.0,-2.80%,100.0,344552.0,552454.0,11960.0
14.0,POSCO홀딩스,228000.0,1000.0,-0.44%,5000.0,763323.0,914716.0,92381.0
15.0,현대모비스,194500.0,5000.0,-2.51%,5000.0,417022.0,514825.0,20401.0
16.0,KB금융,44350.0,150.0,-0.34%,5000.0,589176.0,6638958.0,60976.0
17.0,신한지주,34250.0,250.0,-0.72%,5000.0,286756.0,6481522.0,59521.0
18.0,SK,194000.0,7000.0,-3.48%,200.0,983250.0,1653809.0,49355.0
19.0,SK이노베이션,148500.0,2500.0,-1.66%,5000.0,468429.0,495574.0,17542.0
20.0,LG전자,79300.0,2000.0,-2.46%,5000.0,747216.0,534815.0,38638.0
21.0,한국전력,19200.0,950.0,-4.71%,5000.0,605748.0,2111089.0,-58601.0
22.0,포스코케미칼,158500.0,10500.0,-6.21%,500.0,19895.0,39225.0,1217.0
23.0,삼성생명,61200.0,1800.0,-2.86%,500.0,350791.0,3413826.0,17010.0
24.0,KT&G,86800.0,500.0,+0.58%,5000.0,52284.0,116373.0,13384.0
25.0,LG,73800.0,2600.0,-3.40%,5000.0,68590.0,256698.0,24601.0
26.0,고려아연,569000.0,22000.0,-3.72%,5000.0,99768.0,99640.0,10961.0
27.0,SK텔레콤,51300.0,1200.0,-2.29%,100.0,167486.0,309113.0,13872.0
28.0,하나금융지주,36500.0,50.0,+0.14%,5000.0,416778.0,5024453.0,46311.0
29.0,카카오뱅크,21900.0,400.0,+1.86%,5000.0,10649.0,360401.0,2569.0
30.0,LG생활건강,653000.0,20000.0,-2.97%,5000.0,80915.0,75552.0,12896.0
31.0,현대중공업,114500.0,5500.0,-4.58%,5000.0,83113.0,150787.0,-8003.0
32.0,크래프톤,205000.0,8000.0,-3.76%,100.0,18863.0,56351.0,6396.0
33.0,HMM,19350.0,200.0,-1.02%,5000.0,137941.0,178761.0,73775.0
34.0,두산에너빌리티,14700.0,900.0,-5.77%,5000.0,112836.0,237205.0,8779.0
35.0,KT,35250.0,1250.0,-3.42%,5000.0,248980.0,371593.0,16718.0
36.0,삼성화재,191000.0,1500.0,-0.78%,500.0,244443.0,949340.0,15069.0
37.0,한화솔루션,46950.0,900.0,-1.88%,5000.0,107252.0,200076.0,7383.0
38.0,삼성에스디에스,116000.0,1000.0,-0.85%,500.0,136300.0,105174.0,8081.0
39.0,S-Oil,77900.0,3600.0,-4.42%,2500.0,274639.0,186932.0,21409.0
40.0,삼성전기,113500.0,6000.0,-5.02%,5000.0,96750.0,99414.0,14869.0
41.0,대한항공,22300.0,850.0,-3.67%,5000.0,90168.0,266719.0,14180.0
42.0,우리금융지주,10950.0,300.0,-2.67%,5000.0,271910.0,4471839.0,36597.0
43.0,엔씨소프트,323500.0,5500.0,-1.67%,500.0,23088.0,45819.0,3752.0
44.0,기업은행,9410.0,150.0,-1.57%,5000.0,174917.0,3980719.0,32313.0
45.0,카카오페이,51000.0,1600.0,-3.04%,500.0,4586.0,34327.0,-272.0
46.0,SK바이오사이언스,86800.0,1600.0,+1.88%,500.0,9290.0,21101.0,4742.0
47.0,LG이노텍,277000.0,32500.0,-10.50%,5000.0,149456.0,77414.0,12642.0
48.0,아모레퍼시픽,108000.0,3500.0,-3.14%,500.0,48631.0,61167.0,3434.0
49.0,현대글로비스,164000.0,6500.0,-3.81%,500.0,217796.0,121709.0,11262.0
50.0,CJ제일제당,406500.0,13500.0,-3.21%,5000.0,262892.0,268558.0,15244.0
51.0,F&F,143000.0,3000.0,-2.05%,100.0,10892.0,11465.0,3227.0
52.0,한국조선해양,76000.0,2800.0,-3.55%,5000.0,154934.0,272931.0,-13848.0
53.0,하이브,130000.0,10000.0,-7.14%,500.0,12559.0,47289.0,1902.0
54.0,강원랜드,24900.0,400.0,-1.58%,500.0,7884.0,38273.0,-527.0
55.0,SK스퀘어,36350.0,200.0,+0.55%,100.0,11464.0,226391.0,4198.0
56.0,한온시스템,9490.0,90.0,-0.94%,100.0,73514.0,82337.0,3258.0
57.0,롯데케미칼,146500.0,12500.0,-7.86%,5000.0,181205.0,228700.0,15356.0
58.0,KODEX 200,28390.0,715.0,-2.46%,0.0,,,
59.0,삼성중공업,5370.0,240.0,-4.28%,1000.0,66220.0,121386.0,-13120.0
60.0,맥쿼리인프라,11600.0,50.0,-0.43%,0.0,,,
61.0,LG유플러스,10700.0,450.0,-4.04%,5000.0,138511.0,193705.0,9790.0
62.0,한국항공우주,47000.0,150.0,+0.32%,5000.0,25623.0,58552.0,583.0
63.0,넷마블,53100.0,1500.0,-2.75%,100.0,25069.0,106638.0,1510.0
64.0,SK바이오팜,57000.0,1200.0,-2.06%,500.0,4186.0,6437.0,950.0
65.0,한국타이어앤테크놀로지,35150.0,650.0,-1.82%,500.0,71411.0,117039.0,6422.0
66.0,LG디스플레이,12050.0,250.0,-2.03%,5000.0,298780.0,381545.0,22306.0
67.0,삼성엔지니어링,21900.0,600.0,-2.67%,5000.0,74867.0,60587.0,5033.0
68.0,HD현대,54200.0,1700.0,-3.04%,1000.0,281587.0,358157.0,10854.0
69.0,현대건설,38150.0,1450.0,-3.66%,5000.0,180655.0,196373.0,7535.0
70.0,오리온,106500.0,2500.0,-2.29%,500.0,23555.0,31204.0,3729.0
71.0,SK아이이테크놀로지,57400.0,2500.0,-4.17%,1000.0,6038.0,31845.0,892.0
72.0,코웨이,55100.0,1200.0,+2.23%,500.0,36643.0,38006.0,6402.0
73.0,롯데지주,38700.0,1300.0,-3.25%,200.0,99249.0,199219.0,2164.0
74.0,현대미포조선,100500.0,6500.0,-6.07%,5000.0,28872.0,38783.0,-2173.0
75.0,유한양행,53500.0,300.0,-0.56%,1000.0,16878.0,24638.0,486.0
76.0,현대제철,29300.0,700.0,-2.33%,5000.0,228499.0,370423.0,24475.0
77.0,DB손해보험,54900.0,2600.0,-4.52%,500.0,208806.0,647516.0,11084.0
78.0,GS,41600.0,1000.0,-2.35%,5000.0,202401.0,311913.0,26403.0
79.0,미래에셋증권,6030.0,50.0,-0.82%,5000.0,131448.0,1086418.0,14855.0
80.0,삼성카드,30250.0,750.0,-2.42%,5000.0,35881.0,271442.0,7493.0
81.0,메리츠화재,30150.0,1100.0,-3.52%,500.0,118614.0,276890.0,9076.0
82.0,금호석유,112500.0,2500.0,-2.17%,5000.0,84618.0,81157.0,24068.0
83.0,SKC,88500.0,4300.0,-4.63%,5000.0,33961.0,61801.0,4647.0
84.0,TIGER 차이나전기차SOLACTIVE,13765.0,460.0,-3.23%,0.0,,,
85.0,쌍용C&E,6370.0,70.0,-1.09%,100.0,16614.0,35648.0,2487.0
86.0,한화에어로스페이스,62600.0,2400.0,-3.69%,5000.0,64151.0,110458.0,3830.0
87.0,한국가스공사,33500.0,750.0,-2.19%,5000.0,275208.0,436699.0,12397.0
88.0,현대차2우B,84500.0,1900.0,-2.20%,5000.0,,,
89.0,KODEX KOFR금리액티브(합성),100855.0,0.0,0.00%,0.0,,,
90.0,NH투자증권,9060.0,90.0,-0.98%,5000.0,107622.0,585420.0,12939.0
91.0,호텔신라,73100.0,300.0,-0.41%,5000.0,37791.0,26564.0,1188.0
92.0,두산밥캣,28200.0,1250.0,-4.24%,500.0,58162.0,85809.0,5953.0
93.0,한미약품,229500.0,2500.0,-1.08%,2500.0,12032.0,19367.0,1254.0
94.0,현대오토에버,102500.0,3000.0,-2.84%,500.0,20704.0,23461.0,961.0
95.0,삼성증권,31300.0,300.0,-0.95%,5000.0,98095.0,657075.0,13087.0
96.0,BGF리테일,161000.0,2500.0,-1.53%,1000.0,67812.0,25964.0,1994.0
97.0,현대로템,25450.0,1250.0,-4.68%,5000.0,28725.0,41072.0,802.0
98.0,GS리테일,26150.0,200.0,-0.76%,1000.0,97657.0,94560.0,2085.0
99.0,에스디바이오센서,26500.0,600.0,-2.21%,500.0,29300.0,30051.0,13640.0
100.0,한국금융지주,49050.0,800.0,-1.60%,5000.0,137861.0,820366.0,15210.0
101.0,한진칼,40650.0,400.0,-0.97%,2500.0,3953.0,37547.0,-1952.0
102.0,메리츠금융지주,20850.0,850.0,-3.92%,500.0,356499.0,820309.0,18006.0
103.0,현대해상,29450.0,800.0,-2.64%,500.0,188422.0,528180.0,6393.0
104.0,제일기획,22800.0,500.0,+2.24%,200.0,33257.0,25421.0,2482.0
105.0,팬오션,4880.0,180.0,-3.56%,1000.0,46161.0,64888.0,5729.0
106.0,포스코인터내셔널,21100.0,1000.0,-4.52%,5000.0,339489.0,107707.0,5854.0
107.0,씨에스윈드,61200.0,1100.0,-1.77%,500.0,12034.0,17739.0,1010.0
108.0,롯데쇼핑,87800.0,2100.0,-2.34%,5000.0,155736.0,334265.0,2076.0
109.0,메리츠증권,3820.0,180.0,-4.50%,1000.0,232474.0,541082.0,9489.0
110.0,이마트,86200.0,400.0,-0.46%,5000.0,249327.0,312421.0,3168.0
111.0,일진머티리얼즈,52100.0,4900.0,-8.60%,500.0,6889.0,17536.0,699.0
112.0,아모레G,28850.0,850.0,-2.86%,500.0,53261.0,80381.0,3562.0
113.0,KODEX 200선물인버스2X,3835.0,180.0,+4.92%,0.0,,,
114.0,신세계,232500.0,4500.0,-1.90%,5000.0,63164.0,136445.0,5174.0
115.0,CJ대한통운,97200.0,1500.0,+1.57%,5000.0,113437.0,89939.0,3439.0
116.0,에스원,56900.0,1000.0,+1.79%,500.0,23125.0,19730.0,1797.0
